"","ARCHETYPES","METRIC_COMB"
"1","Shadow Prowess",0.574
"2","WURG Control",0.559
"3","Heliod Combo",0.325
"4","Reclaimer Titan",0.298
"5","Humans",0.268
"6","Mono White Taxes",0.25
"7","Obosh Aggro",0.248
"8","Oops All Spells",0.237
"9","KGC Tron",0.223
"10","Amulet Titan",0.211
"11","Sultai Control",0.189
"12","E Tron",0.175
"13","Ad Nauseam",0.17
"14","Jund Midrange",0.166
"15","Omnath Saheeli",0.165
"16","Izzet Prowess",0.163
"17","Dredge",0.161
"18","Gruul Midrange",0.158
"19","Devoted",0.157
"20","Burn",0.147
"21","KGC Amulet Titan",0.145
"22","Niv To Light",0.144
"23","Naya Prowess",0.143
"24","Jeskai Ascendancy",0.142
"25","Belcher",0.142
"26","Izzet Control",0.138
"27","Hammer Time",0.137
"28","Mill",0.135
"29","Dimir Control",0.134
"30","Gifts Storm",0.133
"31","UBRG Control",0.13
"32","Bant Blink",0.129
"33","Golgari Elves",0.129
"34","Orzhov Taxes",0.129
"35","Erayo Prison",0.129
"36","Azorius Taxes",0.126
"37","Sultai Shadow",0.125
"38","Azorius Control",0.123
"39","Orzhov Midrange",0.12
"40","Bant Midrange",0.119
"41","Temur Control",0.118
"42","Abzan Company",0.115
"43","Selenya Taxes",0.115
"44","Golos Tron",0.112
"45","Hardened Scales",0.111
"46","Rakdos Midrange",0.108
"47","Thopter Urza",0.107
"48","Jeskai Control",0.097
"49","Grixis Shadow",0.097
"50","U Tron",0.095
"51","Sultai Midrange",0.095
"52","Infect",0.094
"53","Jund Shadow",0.092
"54","Abzan Midrange",0.09
"55","Bant Spirits",0.09
"56","Boros Prowess",0.089
"57","Mardu Prowess",0.089
"58","Naya Midrange",0.089
"59","Abzan Taxes",0.089
"60","Rakdos Shadow",0.089
"61","Grixis Control",0.089
"62","Saheeli Combo",0.089
"63","Inverter",0.089
"64","Heliod Devoted",0.089
"65","WURG Blink",0.089
"66","Izzet Restore Balance",0.089
"67","Rogues",0.086
"68","Crabvine",0.086
"69","Polymorph",0.083
"70","Spirits",0.083
"71","Mono Red Prowess",0.083
"72","Scapeshift",0.082
"73","Neobrand",0.071
"74","Kiki Chord",0.068
"75","Bant Control",0.068
"76","Merfolk",0.068
"77","Bogles",0.068
"78","Boros Land Destruction",0.066
"79","White Devotion",0.062
"80","Slivers",0.062
"81","Primeval Titan",0.062
"82","Mardu Midrange",0.059
"83","Snoop Goblins",0.056
"84","UBRG Shadow",0.053
"85","Izzet Living End",0.053
"86","Esper Control",0.048
"87","Elementals",0.043
"88","Rakdos Prowess",0.038
"89","Selective Oracle",0.033
"90","Enduring Ideal",0.029
"91","Taking Turns",0.024
"92","Jund Prowess",0.021
"93","UBRG Midrange",0.018
"94","Tokens",0.018
"95","Bushwhacker Zoo",0.018
"96","Kuldotha Red",0.018
"97","Uroza",0.018
"98","Snow Saheeli",0.018
"99","Yawgmoth",0.018
"100","Esper Shadow",0.018
"101","Selesnya Eldrazi",0.018
"102","Red Prison",0.018
"103","Dice Factory Tron",0.018
"104","Jeskai Breach",0.018
"105","Selenya Midrange",0.011
"106","Golgari Midrange",0.006
"107","Jeskai Taxes",0
"108","G Tron",0
