"","Artist","NoCopies","Winrate"
"1","Christopher Rush",9081,0.671
"2","Rob Alexander",8304,0.67
"3","Terese Nielsen",7083,0.669
"4","Mark Tedin",5975,0.674
"5","Jesper Myrfors",4325,0.668
"6","Una Fricker",3685,0.674
"7","Shelly Wan",3223,0.673
"8","Matthew D. Wilson",3143,0.68
"9","Svetlin Velinov",3119,0.669
"10","Brian Snõddy",2888,0.673
"11","Philip Straub",2721,0.678
"12","Kaja Foglio",2596,0.673
"13","Jeff A. Menges",2504,0.67
"14","Steven Belledin",2445,0.671
"15","Anson Maddocks",2218,0.672
"16","Nils Hamm",2206,0.675
"17","Paul Scott Canavan",2102,0.677
"18","Kev Walker",1992,0.66
"19","Mark Zug",1943,0.656
"20","Randy Vargas",1855,0.663
"21","Vincent Proce",1824,0.669
"22","Anastasia Ovchinnikova",1740,0.667
"23","Aleksi Briclot",1725,0.662
"24","April Lee",1710,0.665
"25","Eric Deschamps",1586,0.671
"26","Igor Kieryluk",1448,0.668
"27","Adam Rex",1423,0.66
"28","Colin MacNeil",1415,0.654
"29","Vance Kovacs",1402,0.662
"30","John Stanko",1388,0.67
"31","Douglas Shuler",1356,0.659
"32","Nicola Leonard",1340,0.665
"33","Christopher Moeller",1311,0.663
"34","Sandra Everingham",1310,0.667
"35","John Avon",1301,0.656
"36","Mark Poole",1294,0.67
"37","Donato Giancola",1281,0.67
"38","Pete Venters",1260,0.665
"39","Jason Chan",1248,0.666
"40","David Rapoza",1213,0.654
"41","Victor Adame Minguez",1201,0.665
"42","Magali Villeneuve",1179,0.674
"43","Simon Dominic",1145,0.685
"44","Dan Frazier",1137,0.66
"45","Nicholas Gregory",1131,0.667
"46","Filip Burburan",1092,0.666
"47","Harold McNeill",1091,0.673
"48","Scott M. Fischer",1080,0.67
"49","Anthony S. Waters",1057,0.652
"50","Daniel Ljunggren",1016,0.663
"51","Jonas De Ro",994,0.675
"52","Titus Lunter",991,0.668
"53","Rebecca Guay",968,0.669
"54","Richard Thomas",960,0.669
"55","Jerry Tiritilli",954,0.669
"56","Greg Hildebrandt",952,0.669
"57","Pat Morrissey",946,0.667
