"","CardNames","DeckCount","WinrateAverage"
"1","Brainstorm",1288,67.5
"2","Force of Will",1288,67.5
"3","Ponder",1250,67.5
"4","Misty Rainforest",1245,67.3
"5","Wasteland",1024,67.4
"6","Polluted Delta",1014,67.5
"7","Flooded Strand",972,67.7
"8","Volcanic Island",953,67.7
"9","Scalding Tarn",934,67.8
"10","Daze",818,68
"11","Force of Negation",751,67.7
"12","Karakas",673,66.3
"13","Tropical Island",672,67.3
"14","Snow-Covered Island",655,67.1
"15","Lightning Bolt",617,67.7
"16","Swords to Plowshares",580,67.4
"17","Delver of Secrets",478,67.8
"18","Sylvan Library",475,67.2
"19","Preordain",473,67.7
"20","Verdant Catacombs",448,65.7
"21","Snow-Covered Forest",429,66.3
"22","Underground Sea",427,67.2
"23","Wooded Foothills",426,66.7
"24","Tundra",422,67.2
"25","Lotus Petal",417,66.5
"26","Ancient Tomb",409,65.4
"27","Island",406,67.1
"28","Bayou",402,65.5
"29","Uro, Titan of Nature's Wrath",399,67.4
"30","Forest",371,65.3
"31","Windswept Heath",347,65.4
"32","City of Traitors",347,65.8
"33","Snow-Covered Plains",328,67
"34","Dryad Arbor",324,65.7
"35","Savannah",319,65.4
"36","Green Sun's Zenith",314,65.5
"37","Mountain",311,66.2
"38","Prismatic Vista",301,66.7
"39","Brazen Borrower",294,68
"40","Ragavan, Nimble Pilferer",285,68.5
"41","Thoughtseize",277,66.7
"42","Snow-Covered Mountain",272,67.8
"43","Expressive Iteration",270,68.4
"44","Murktide Regent",270,68.4
"45","Bojuka Bog",265,65.6
"46","Urza's Saga",257,66.8
"47","Plains",246,66.8
"48","Lion's Eye Diamond",243,66.5
"49","Prismatic Ending",242,67
"50","Crop Rotation",238,65.4
