"","CardNames","DeckCount","Winrate95Min"
"1","Polluted Delta",382,78.4
"2","Underground Sea",149,78
"3","Flooded Strand",430,78
"4","Force of Will",527,78
"5","Scalding Tarn",369,77.9
"6","Misty Rainforest",535,77.9
"7","Brainstorm",525,77.9
"8","Ponder",515,77.9
"9","Volcanic Island",389,77.6
"10","Force of Negation",288,77.5
"11","Daze",330,77.5
"12","Island",187,77.4
"13","Preordain",167,77.1
"14","Wasteland",430,77.1
"15","Delver of Secrets",208,76.9
"16","Dryad Arbor",116,76.8
"17","Lightning Bolt",272,76.8
"18","Careful Study",31,76.7
"19","Scavenging Ooze",37,76.7
"20","Ice-Fang Coatl",115,76.7
"21","Mountain",143,76.7
"22","Tropical Island",267,76.7
"23","Uro, Titan of Nature's Wrath",180,76.6
"24","Tundra",206,76.6
"25","Swords to Plowshares",267,76.6
"26","Bayou",147,76.5
"27","Expressive Iteration",157,76.4
"28","Verdant Catacombs",140,76.3
"29","Prismatic Ending",108,76.2
"30","Snow-Covered Island",285,76.2
"31","Snow-Covered Forest",195,76.1
"32","Chain Lightning",54,76
"33","Snapcaster Mage",60,76
"34","Bloodstained Mire",103,76
"35","Murktide Regent",142,76
"36","Mystic Sanctuary",50,75.8
"37","Jace, the Mind Sculptor",85,75.7
"38","Brazen Borrower",112,75.7
"39","Wooded Foothills",182,75.7
"40","Leovold, Emissary of Trest",36,75.6
"41","Carpet of Flowers",36,75.6
"42","Lotus Petal",173,75.6
"43","Ancient Tomb",169,75.6
"44","Hogaak, Arisen Necropolis",38,75.5
"45","Swamp",85,75.5
"46","Snow-Covered Plains",162,75.5
"47","Sylvan Library",187,75.5
"48","Hedron Crab",27,75.4
"49","Hullbreacher",55,75.4
"50","Oko, Thief of Crowns",58,75.4
