"","CardNames","DeckCount","WinrateAverage"
"1","Misty Rainforest",535,79.7
"2","Force of Will",527,79.7
"3","Brainstorm",525,79.7
"4","Ponder",515,79.7
"5","Flooded Strand",430,80
"6","Wasteland",430,79.1
"7","Volcanic Island",389,79.6
"8","Polluted Delta",382,80.5
"9","Scalding Tarn",369,80
"10","Daze",330,79.7
"11","Force of Negation",288,79.9
"12","Snow-Covered Island",285,78.7
"13","Karakas",280,77.8
"14","Lightning Bolt",272,79.3
"15","Swords to Plowshares",267,79.2
"16","Tropical Island",267,79.3
"17","Delver of Secrets",208,79.7
"18","Tundra",206,79.5
"19","Snow-Covered Forest",195,79.1
"20","Island",187,80.4
"21","Sylvan Library",187,78.6
"22","Wooded Foothills",182,78.8
"23","Uro, Titan of Nature's Wrath",180,79.7
"24","Lotus Petal",173,78.8
"25","Ancient Tomb",169,78.8
"26","Preordain",167,80.3
"27","Snow-Covered Plains",162,78.9
"28","Expressive Iteration",157,79.7
"29","Underground Sea",149,81.3
"30","Bayou",147,79.9
"31","Mountain",143,80.2
"32","Ragavan, Nimble Pilferer",143,78.9
"33","Murktide Regent",142,79.5
"34","Verdant Catacombs",140,79.8
"35","City of Traitors",136,78.6
"36","Prismatic Vista",135,78.9
"37","Windswept Heath",134,78.4
"38","Savannah",131,79
"39","Lion's Eye Diamond",116,78.5
"40","Dryad Arbor",116,80.6
"41","Ice-Fang Coatl",115,80.6
"42","Dragon's Rage Channeler",113,78.8
"43","Forest",112,77.3
"44","Brazen Borrower",112,79.7
"45","Prismatic Ending",108,80.2
"46","Bloodstained Mire",103,80.1
"47","Snow-Covered Mountain",103,77.6
"48","Green Sun's Zenith",103,79.6
"49","Teferi, Time Raveler",102,79.5
"50","Bojuka Bog",101,77.3
