"","CardNames","DeckCount","WinrateAverage"
"1","Dawnglade Regent",2,100
"2","Ox of Agonas",1,100
"3","Muddle the Mixture",1,100
"4","Jolrael, Mwonvuli Recluse",1,100
"5","Ram Through",1,100
"6","Duergar Hedge-Mage",1,100
"7","Leyline of Vitality",1,100
"8","Dark Depths",1,100
"9","Thespian's Stage",1,100
"10","Children of Korlis",1,100
"11","Griselbrand",1,100
"12","Laboratory Maniac",1,100
"13","Loyal Retainers",1,100
"14","Cleansing Wildfire",1,100
"15","Oblivion Ring",1,100
"16","Spirit of the Labyrinth",1,100
"17","Pack Rat",1,100
"18","Energy Flux",1,100
"19","Unmoored Ego",1,100
"20","Sphere of Annihilation",1,100
"21","Avabruck Caretaker",1,100
"22","Bitterblossom",1,100
"23","Archon of Cruelty",1,100
"24","Dread of Night",3,91.7
"25","Electrickery",5,90.5
"26","Life from the Loam",7,89.3
"27","Bone Shards",2,88.9
"28","Painful Truths",6,87.5
"29","Nausea",4,87.5
"30","Engineered Plague",2,87.5
"31","Stern Dismissal",2,87.5
"32","Ramunap Excavator",2,87.5
"33","Harbinger of the Tides",2,87.5
"34","Umezawa's Jitte",2,87.5
"35","Extract",2,87.5
"36","Angel's Grace",2,87.5
"37","Vampire Hexmage",2,87.5
"38","Tyrant's Scorn",2,87.5
"39","Golos, Tireless Pilgrim",2,87.5
"40","Archon of Emeria",2,87.5
"41","Sedgemoor Witch",2,87.5
"42","Rip Apart",2,87.5
"43","Sevinne's Reclamation",2,87.5
"44","Captivating Crew",2,87.5
"45","Vault of Whispers",2,87.5
"46","Pernicious Deed",2,87.5
"47","Thran Foundry",2,87.5
"48","Cabal Therapy",12,86
"49","Goblin Cratermaker",7,85.7
"50","Coffin Purge",6,85.2
