"","PlayerS","NAppearances","TotalMatches","WinrateAverage","Winrate95Min","Winrate95Max","TotalPoints","ArchetypeNames","ArchetypeCounts","URL"
"1","Beenew",19,78,0.82051282051282,0.717226800060857,0.898250662826349,192,"Unknown; Izzet Delver","10; 9","https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-30#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-02-17#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-03-27#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-08#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-23#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-24#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-05#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-19#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-06-01#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-06-02#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-08-05#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-08-11#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-08-12#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-08-13#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-08-25#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-09-01#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-09-08#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-09-09#beenew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-11-10#beenew_-"
"2","Kazuga",17,68,0.867647058823529,0.763564445690479,0.937651685936562,177,"Unknown; WUBG Control; Conflict(Jeskai Mentor,Jeskai Standstill); Izzet Delver","12; 1; 2; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-06#kazuga_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-02-02#kazuga_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-02-13#kazuga_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-03-09#kazuga_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-10#kazuga_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-16#kazuga_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-17#kazuga_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-23#kazuga_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-06#kazuga_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-11#kazuga_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-12#kazuga_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-06-01#kazuga_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-06-04#kazuga_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-08-04#kazuga_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-08-06#kazuga_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-08-24#kazuga_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-11-23#kazuga_-"
"3","AnziD",17,70,0.8,0.687264346104165,0.886119637967792,168,"WURG Control; Unknown; UBRG Cascade; WUBG Control; Bant Control; 4 C   Control","9; 2; 1; 1; 3; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-05#anzid_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-08#anzid_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-09#anzid_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-12#anzid_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-15#anzid_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-16#anzid_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-23#anzid_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-02-02#anzid_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-02-06#anzid_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-14#anzid_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-12#anzid_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-25#anzid_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-29#anzid_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-06-11#anzid_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-08-12#anzid_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-08-28#anzid_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-12-22#anzid_-"
"4","hodortimebaby",18,74,0.756756756756757,0.64308570341131,0.849018206279979,168,"Oops !  All   Spells; Unknown; UW   Control; Bant Control; Yorion   Zenith","1; 9; 1; 6; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-06#hodortimebaby_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-19#hodortimebaby_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-27#hodortimebaby_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-03-03#hodortimebaby_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-03-09#hodortimebaby_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-03-24#hodortimebaby_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-03-26#hodortimebaby_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-01#hodortimebaby_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-09#hodortimebaby_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-13#hodortimebaby_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-15#hodortimebaby_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-28#hodortimebaby_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-05#hodortimebaby_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-11#hodortimebaby_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-26#hodortimebaby_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-28#hodortimebaby_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-07-16#hodortimebaby_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-12-21#hodortimebaby_-"
"5","_INF_",16,64,0.796875,0.67773569329196,0.88717114052916,153,"Naya Lands; TES; Unknown; Izzet Delver; Doomsday; Jeskai Tempo","1; 1; 5; 6; 2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-02-24#_inf__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-17#_inf__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-24#_inf__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-29#_inf__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-01#_inf__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-08#_inf__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-06-10#_inf__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-06-12#_inf__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-07-31#_inf__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-08-14#_inf__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-08-21#_inf__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-09-02#_inf__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-09-09#_inf__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-10-30#_inf__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-11-27#_inf__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-12-02#_inf__-"
"6","McWinSauce",15,60,0.8,0.676699576198709,0.892158877475638,144,"UW   Control; Bant Control; Bant Stoneblade; Unknown; Yorion   Zenith; 4 C   Control","1; 3; 1; 5; 4; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-02-23#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-03-26#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-03#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-10#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-20#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-27#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-28#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-06-19#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-08-13#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-08-20#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-09-03#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-09-21#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-12-17#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-12-24#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-12-28#mcwinsauce_-"
"7","JPA93",14,56,0.767857142857143,0.635815748349162,0.870207967213134,129,"Sneak  &  Show; Unknown; WURG Control; Jeskai Tempo; Izzet Delver","10; 1; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-05#jpa_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-19#jpa_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-02-11#jpa_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-02-13#jpa_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-02-20#jpa_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-03-02#jpa_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-03-27#jpa_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-20#jpa_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-22#jpa_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-27#jpa_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-29#jpa_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-09-04#jpa_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-09-11#jpa_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-09-14#jpa_-"
"8","basuta",12,49,0.775510204081633,0.633756981140724,0.882256579445809,114,"Mono Red Prison; Jund Prison; Artifacts   Blue","8; 2; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-09#basuta_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-28#basuta_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-30#basuta_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-02-11#basuta_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-02-13#basuta_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-03-31#basuta_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-02#basuta_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-13#basuta_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-27#basuta_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-29#basuta_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-07-31#basuta_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-08-07#basuta_-"
"9","yoshiwata",12,49,0.755102040816326,0.611304085311566,0.866571289157706,111,"Death  &  Taxes","12","https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-01-30#yoshiwata_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-02-06#yoshiwata_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-02-18#yoshiwata_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-02-20#yoshiwata_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-02-27#yoshiwata_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-03#yoshiwata_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-06-05#yoshiwata_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-06-26#yoshiwata_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-07-03#yoshiwata_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-08-12#yoshiwata_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-09-04#yoshiwata_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-10-23#yoshiwata_-"
"10","Wizard_2002",11,44,0.795454545454545,0.646954943221751,0.901956823639409,105,"Madness; Jund Reanimator; Azorius Vial; Maverick; Mono Red Prison; WURG Control; Bant Control; Karn   Post","3; 1; 1; 1; 2; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-03-25#wizard__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-04-16#wizard__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-08#wizard__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-05-19#wizard__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-06-02#wizard__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-07-03#wizard__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-07-28#wizard__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-11-04#wizard__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-12-01#wizard__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-12-07#wizard__-; https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2021-12-24#wizard__-"
