"","ArtistName","Winrate","Presence"
"1","Una Fricker",NA,0
"2","Paul Scott Canavan",NA,0
"3","Harold McNeill",NA,0
"4","Shelly Wan",NA,0
"5","Christopher Rush",NA,0
"6","Mark Tedin",NA,0
"7","Terese Nielsen",NA,0
"8","Michael Komarck",NA,0
"9","Jesper Myrfors",NA,0
"10","Rob Alexander",NA,0
"11","Eric Deschamps",NA,0
"12","Jeff A. Menges",NA,0
"13","Nicola Leonard",NA,0
"14","Nils Hamm",NA,0
"15","Matthew D. Wilson",NA,0
"16","Brian Snõddy",NA,0
"17","Svetlin Velinov",NA,0
"18","Vincent Proce",NA,0
"19","Justin Murray",NA,0
"20","Jason Chan",NA,0
"21","Philip Straub",NA,0
"22","Volkan Baǵa",NA,0
"23","Chris Rallis",NA,0
"24","Magali Villeneuve",NA,0
"25","Mark Poole",NA,0
"26","Vance Kovacs",NA,0
"27","Nicholas Gregory",NA,0
"28","Tomasz Jedruszek",NA,0
"29","Anthony S. Waters",NA,0
"30","Kev Walker",NA,0
"31","James Paick",NA,0
"32","Dan Frazier",NA,0
"33","Anson Maddocks",NA,0
"34","Jerry Tiritilli",NA,0
"35","Scott M. Fischer",NA,0
"36","Jana Schirmer & Johannes Voss",NA,0
"37","Colin MacNeil",NA,0
"38","Zack Stella",NA,0
"39","DiTerlizzi",NA,0
"40","Jason Rainville",NA,0
"41","Donato Giancola",NA,0
"42","Victor Adame Minguez",NA,0
"43","Howard Lyon",NA,0
"44","Stephan Martiniere",NA,0
"45","John Avon",NA,0
"46","Christopher Moeller",NA,0
"47","Jesper Ejsing",NA,0
"48","Chris Ostrowski",NA,0
"49","Heather Hudson",NA,0
"50","David Hudnut",NA,0
"51","Sung Choi",NA,0
"52","Mike Bierek",NA,0
"53","Mark Zug",NA,0
"54","Pat Morrissey",NA,0
"55","Greg Hildebrandt",NA,0
"56","Randy Vargas",NA,0
"57","Eric Fortune",NA,0
"58","April Lee",NA,0
"59","Aleksi Briclot",NA,0
"60","Erica Yang",NA,0
"61","Hideaki Takamura",NA,0
"62","Dany Orizio",NA,0
"63","Forrest Imel",NA,0
"64","David Rapoza",NA,0
"65","Todd Lockwood",NA,0
"66","Rebecca Guay",NA,0
"67","Chippy",NA,0
"68","Cynthia Sheppard",NA,0
"69","Margaret Organ-Kean",NA,0
"70","Matt Stewart",NA,0
"71","Jeremy Enecio",NA,0
"72","Winona Nelson",NA,0
"73","Cliff Childs",NA,0
"74","Josh Hass",NA,0
"75","Greg Staples",NA,0
"76","Dave DeVries",NA,0
"77","Douglas Shuler",NA,0
"78","Ryan Pancoast",NA,0
"79","John Stanko",NA,0
"80","Dan Scott",NA,0
"81","Scott Murphy",NA,0
"82","Jake Murray",NA,0
"83","Zezhou Chen",NA,0
"84","Johannes Voss",NA,0
"85","Dimitar Marinski",NA,0
"86","Sandra Everingham",NA,0
"87","Seb McKinnon",NA,0
"88","Jonas De Ro",NA,0
"89","Austin Hsu",NA,0
"90","Filip Burburan",NA,0
"91","David Palumbo",NA,0
"92","Jeff Laubenstein",NA,0
"93","Ron Spencer",NA,0
"94","Greg Hildebrandt & Tim Hildebrandt",NA,0
"95","Igor Kieryluk",NA,0
"96","Sam Burley",NA,0
"97","Tim Hildebrandt",NA,0
"98","Anthony Francisco",NA,0
"99","Mark Behm",NA,0
"100","Kieran Yanner",NA,0
"101","Alex Konstad",NA,0
"102","Franz Vohwinkel",NA,0
"103","Adam Paquette",NA,0
"104","Tom Wänerstrand",NA,0
"105","Lawrence Snelly",NA,0
"106","Lake Hurwitz",NA,0
"107","Daniel Ljunggren",NA,0
"108","Chris Rahn",NA,0
"109","Daarken",NA,0
"110","Steven Belledin",NA,0
"111","Chris Seaman",NA,0
"112","Raymond Swanland",NA,0
"113","Brom",NA,0
"114","Sidharth Chaturvedi",NA,0
"115","Liz Danforth",NA,0
"116","Caio Monteiro",NA,0
"117","YW Tang",NA,0
"118","Izzy",NA,0
"119","Martina Pilcerova",NA,0
"120","Jim Nelson",NA,0
"121","Pete Venters",NA,0
"122","Wisnu Tan",NA,0
"123","David Martin",NA,0
"124","Titus Lunter",NA,0
"125","Henry G. Higginbotham",NA,0
"126","Ron Spears",NA,0
"127","Gabor Szikszai",NA,0
"128","Kaja Foglio",NA,0
"129","Anna Steinbauer",NA,0
"130","Susan Van Camp",NA,0
"131","Matt Cavotta",NA,0
"132","Zoltan Boros & Gabor Szikszai",NA,0
"133","D. Alexander Gregory",NA,0
"134","Larry MacDougall",NA,0
"135","Tom Kyffin",NA,0
"136","Thomas M. Baxa",NA,0
"137","Shishizaru",NA,0
"138","Min Yum",NA,0
"139","Jeff Miracola",NA,0
"140","Sue Ellen Brown",NA,0
"141","Richard Wright",NA,0
"142","Kaja Foglio & Phil Foglio",NA,0
"143","Julie Baroh",NA,0
"144","Anthony Jones",NA,0
"145","Jeremy Jarvis",NA,0
"146","Cyril Van Der Haegen",NA,0
"147","Adrian Smith",NA,0
"148","Jean-Sébastien Rossbach",NA,0
"149","Jaime Jones",NA,0
"150","Michael Sutfin",NA,0
"151","Zoltan Boros",NA,0
"152","Anastasia Ovchinnikova",NA,0
"153","Anna Podedworna",NA,0
"154","Raoul Vitale",NA,0
"155","Wayne England",NA,0
"156","Steve Argyle",NA,0
"157","Jung Park",NA,0
"158","Bryon Wackwitz",NA,0
"159","Bryan Talbot",NA,0
"160","John Matson",NA,0
"161","Val Mayerik",NA,0
"162","Tomas Giorello",NA,0
"163","Chase Stone",NA,0
"164","Carl Critchlow",NA,0
"165","Robert Bliss",NA,0
"166","rk post",NA,0
"167","Glenn Fabry",NA,0
"168","Dmitry Burmak",NA,0
"169","Hugh Jamieson",NA,0
"170","Ralph Horsley",NA,0
"171","Daren Bader",NA,0
"172","Livia Prima",NA,0
"173","Lucas Graciano",NA,0
"174","Ciruelo",NA,0
"175","Dominick Domingo",NA,0
"176","Jason Felix",NA,0
"177","Mitsuaki Sagiri",NA,0
"178","Johann Bodin",NA,0
"179","Melissa A. Benson",NA,0
"180","Clint Cearley",NA,0
"181","Noah Bradley",NA,0
