"","SetName","Winrate","Presence"
"1","NPH",NA,0
"2","IKO",NA,0
"3","LEG",NA,0
"4","NEM",NA,0
"5","ICE",NA,0
"6","MH1",NA,0
"7","THB",NA,0
"8","LEA",NA,0
"9","CMR",NA,0
"10","DKA",NA,0
"11","ULG",NA,0
"12","WTH",NA,0
"13","GPT",NA,0
"14","CMD",NA,0
"15","GRN",NA,0
"16","HOU",NA,0
"17","WWK",NA,0
"18","AKH",NA,0
"19","USG",NA,0
"20","CN2",NA,0
"21","LRW",NA,0
"22","M20",NA,0
"23","ALA",NA,0
"24","TMP",NA,0
"25","PLC",NA,0
"26","EXO",NA,0
"27","SOI",NA,0
"28","CON",NA,0
"29","RTR",NA,0
"30","STX",NA,0
"31","TSP",NA,0
"32","ELD",NA,0
"33","ZEN",NA,0
"34","DRK",NA,0
"35","C14",NA,0
"36","FRF",NA,0
"37","PLS",NA,0
"38","ZNR",NA,0
"39","WAR",NA,0
"40","CNS",NA,0
"41","5DN",NA,0
"42","MBS",NA,0
"43","SHM",NA,0
"44","AER",NA,0
"45","FUT",NA,0
"46","C15",NA,0
"47","DST",NA,0
"48","RAV",NA,0
"49","FEM",NA,0
"50","EMN",NA,0
"51","MOR",NA,0
"52","BFZ",NA,0
"53","MIR",NA,0
"54","MRD",NA,0
"55","KLD",NA,0
"56","STH",NA,0
"57","DOM",NA,0
"58","SOM",NA,0
"59","SOK",NA,0
"60","M21",NA,0
"61","BBD",NA,0
"62","ISD",NA,0
"63","AVR",NA,0
"64","ORI",NA,0
"65","XLN",NA,0
"66","M15",NA,0
"67","ONS",NA,0
"68","ATQ",NA,0
"69","SCG",NA,0
"70","DTK",NA,0
"71","ALL",NA,0
"72","BNG",NA,0
"73","OGW",NA,0
"74","M13",NA,0
"75","JUD",NA,0
"76","RNA",NA,0
"77","ODY",NA,0
