"","CardNames","DeckCount","WinrateAverage"
"1","Leovold, Emissary of Trest",1,100
"2","Abundant Growth",1,100
"3","Seasoned Pyromancer",1,100
"4","Painter's Servant",1,100
"5","Blue Elemental Blast",1,100
"6","Grindstone",1,100
"7","Basalt Monolith",1,85.7
"8","Manifold Key",1,85.7
"9","Mesmeric Orb",1,85.7
"10","Mystic Forge",1,85.7
"11","Voltaic Key",1,85.7
"12","Defense Grid",2,81.8
"13","Grim Monolith",4,80.6
"14","Endbringer",3,79.2
"15","Matter Reshaper",3,79.2
"16","Reality Smasher",3,79.2
"17","Thought-Knot Seer",3,79.2
"18","All Is Dust",3,79.2
"19","Warping Wail",3,79.2
"20","Eldrazi Temple",3,79.2
"21","Pyroblast",9,78.7
"22","Walking Ballista",7,77.4
"23","Fury",4,76
"24","Goblin Rabblemaster",4,76
"25","Legion Warboss",4,76
"26","Shatterskull Smashing",5,75.9
"27","Blood Moon",6,75.8
"28","Ulamog, the Ceaseless Hunger",6,75
"29","Cloudpost",6,75
"30","Eye of Ugin",6,75
"31","Glimmerpost",6,75
"32","Vesuva",6,75
"33","Bonecrusher Giant",5,75
"34","Children of Korlis",4,75
"35","Aether Spellbomb",4,75
"36","Primeval Titan",4,75
"37","Arid Mesa",3,75
"38","Scattered Groves",2,75
"39","Flusterstorm",2,75
"40","Dead // Gone",2,75
"41","Hullbreacher",2,75
"42","Auriok Salvagers",1,75
"43","Kaervek, the Spiteful",1,75
"44","Spatial Contortion",1,75
"45","Orzhov Signet",1,75
"46","Vault of Whispers",1,75
"47","Trinket Mage",1,75
"48","Waterlogged Grove",1,75
"49","Teferi, Who Slows the Sunset",1,75
"50","Lavinia, Azorius Renegade",1,75
