"","SetCode","NoCopies","Winrate"
"1","MH2",1134,0.687
"2","LEA",1070,0.679
"3","ICE",710,0.679
"4","TMP",561,0.672
"5","ZEN",551,0.676
"6","ONS",456,0.673
"7","MH1",414,0.67
"8","LRW",380,0.673
"9","ALL",361,0.678
"10","USG",304,0.651
"11","MRD",234,0.673
"12","NEM",232,0.688
"13","LEB",216,0.696
"14","NPH",203,0.684
"15","ELD",170,0.668
"16","STX",169,0.706
"17","ULG",165,0.651
"18","LEG",154,0.672
"19","FUT",153,0.634
"20","EXO",128,0.662
"21","ZNR",125,0.642
"22","AVR",119,0.65
"23","M20",113,0.672
"24","CSP",112,0.65
"25","PLC",110,0.697
"26","WAR",107,0.648
"27","DKA",107,0.68
"28","WWK",96,0.658
"29","DST",93,0.685
"30","GPT",93,0.657
"31","DRK",92,0.687
"32","THB",88,0.672
"33","ALA",86,0.671
"34","SOM",83,0.707
"35","MBS",82,0.657
"36","GTC",76,0.638
"37","STH",73,0.673
"38","ISD",72,0.679
"39","MMQ",71,0.659
"40","ROE",69,0.669
"41","WTH",65,0.694
"42","OGW",64,0.78
"43","M11",64,0.638
"44","HOU",63,0.681
"45","RAV",62,0.621
"46","SOK",61,0.673
"47","SCG",58,0.676
"48","TSP",55,0.691
"49","MIR",52,0.664
"50","ODY",50,0.702
"51","AER",47,0.694
"52","RTR",47,0.659
"53","5DN",46,0.647
"54","CHK",45,0.622
"55","C18",44,0.709
"56","GRN",42,0.675
"57","VIS",42,0.61
"58","CN2",40,0.641
"59","CON",38,0.643
"60","PLS",38,0.705
"61","CMD",38,0.659
"62","JUD",37,0.66
"63","PC2",37,0.667
"64","CMR",35,0.695
"65","AFR",33,0.674
"66","M15",32,0.676
"67","M19",31,0.698
"68","JMP",28,0.604
"69","EVE",27,0.642
"70","MOR",26,0.593
"71","MID",26,0.639
"72","SHM",22,0.681
"73","C20",20,0.706
"74","IKO",20,0.656
"75","TOR",20,0.639
"76","M13",19,0.614
"77","BNG",18,0.723
"78","C13",17,0.697
"79","AKH",14,0.708
"80","APC",13,0.68
"81","M21",13,0.658
"82","XLN",13,0.733
"83","M10",13,0.68
"84","ARB",12,0.737
"85","DIS",12,0.597
"86","BBD",12,0.6
"87","BFZ",9,0.75
"88","CNS",9,0.686
"89","POR",9,0.63
"90","FRF",9,0.63
"91","HML",8,0.643
"92","FEM",8,0.643
"93","KHM",8,0.6
"94","KLD",8,0.667
"95","C19",7,0.633
"96","ATQ",6,0.652
"97","EMN",5,0.571
"98","BOK",4,0.667
"99","PTK",4,0.667
"100","ORI",2,0.714
"101","KTK",2,0.571
"102","DOM",2,0.538
"103","THS",1,0.625
"104","RNA",1,0.75
"105","M12",1,0.5
