"","CardNames","DeckCount","Winrate95Min"
"1","Daze",121,66.7
"2","Wasteland",141,66.6
"3","Flooded Strand",151,66.4
"4","Mishra's Bauble",104,66.3
"5","Murktide Regent",103,66.3
"6","Misty Rainforest",169,66.3
"7","Force of Will",183,66.3
"8","Steam Vents",81,65.9
"9","Pyroblast",104,65.9
"10","Dragon's Rage Channeler",90,65.8
"11","Mystic Sanctuary",100,65.8
"12","Expressive Iteration",108,65.6
"13","Ancient Tomb",77,65.5
"14","Lightning Bolt",93,65.5
"15","Scalding Tarn",160,65.3
"16","Island",135,65.2
"17","Ponder",183,65.2
"18","Brainstorm",183,65.2
"19","Ledger Shredder",47,65
"20","Dress Down",18,64.7
"21","Chalice of the Void",40,64.7
"22","Brazen Borrower",75,64.7
"23","Polluted Delta",164,64.7
"24","City of Traitors",54,64.6
"25","Volcanic Island",152,64.2
"26","Chrome Mox",49,64.1
"27","Stifle",6,64
"28","Sokenzan, Crucible of Defiance",29,64
"29","Fable of the Mirror-Breaker",39,63.9
"30","Collector Ouphe",29,63.7
"31","Delver of Secrets",55,63.7
"32","Mountain",62,63.6
"33","Dryad Arbor",51,63.5
"34","Wooded Foothills",38,63.4
"35","Simian Spirit Guide",49,63.4
"36","Snuff Out",17,63.3
"37","Goblin Rabblemaster",25,63.1
"38","Blood Moon",25,63.1
"39","Urza's Saga",53,63.1
"40","Fury",29,63
"41","Unholy Heat",32,63
"42","Bojuka Bog",48,63
"43","Windswept Heath",54,63
"44","Forest",49,62.9
"45","Swords to Plowshares",66,62.9
"46","Prismatic Vista",38,62.8
"47","Mox Opal",47,62.8
"48","Prismatic Ending",55,62.6
"49","Trinisphere",22,62.5
"50","Den of the Bugbear",24,62.5
