"","CardNames","DeckCount","Winrate95Min"
"1","Yorion, Sky Nomad",26,65.8
"2","Mindbreak Trap",38,65.1
"3","Swords to Plowshares",15,64.9
"4","Pyroblast",154,64.7
"5","Surgical Extraction",142,64.6
"6","Carpet of Flowers",44,64.5
"7","Hydroblast",117,64.4
"8","Veil of Summer",14,64.2
"9","Force of Negation",102,63.8
"10","Force of Vigor",71,63.4
"11","Opposition Agent",8,63.3
"12","Pithing Needle",27,63.3
"13","Red Elemental Blast",100,63.1
"14","Ethersworn Canonist",15,62.9
"15","Flusterstorm",37,62.9
"16","Leyline of the Void",52,62.6
"17","Meltdown",93,62.3
"18","Karakas",19,62.2
"19","Submerge",49,62.2
"20","Kataki, War's Wage",7,61.8
"21","Rough // Tumble",41,61.7
"22","Endurance",47,61.5
"23","Choke",17,61.4
"24","Deafening Silence",32,61.4
"25","Collector Ouphe",38,61.4
"26","Maddening Hex",53,61.4
"27","Relic of Progenitus",6,61.2
"28","Price of Progress",14,61.1
"29","Magus of the Moon",41,61.1
"30","Counterbalance",48,61.1
"31","Grafdigger's Cage",22,61
"32","Path to Exile",9,60.9
"33","Dress Down",9,60.9
"34","Prismatic Ending",15,60.7
"35","Plague Engineer",21,60.7
"36","Supreme Verdict",7,60.5
"37","Faerie Macabre",33,60.5
"38","Serenity",32,60.4
"39","Unlicensed Hearse",12,60.1
"40","Progenitus",19,59.9
"41","Ensnaring Bridge",14,59.8
"42","Masked Vandal",7,59.7
"43","Glacial Chasm",14,59.6
"44","Containment Priest",13,59.4
"45","Thoughtseize",36,59.4
"46","Tormod's Crypt",14,59.2
"47","Soul-Guide Lantern",10,59.1
"48","Fiery Confluence",25,59.1
"49","Tower of the Magistrate",15,59
"50","Engineered Explosives",34,59
