"","CardNames","DeckCount","WinrateAverage"
"1","Terminus",1,91.7
"2","Leyline Binding",2,87.5
"3","Supreme Verdict",3,85.7
"4","Day's Undoing",3,85.7
"5","Chalice of the Void",6,84.4
"6","The Wandering Emperor",4,82.4
"7","Hymn to Tourach",2,81.8
"8","Hushbringer",2,80
"9","Loran of the Third Path",9,79.2
"10","Aven Mindcensor",10,79
"11","Thorn of Amethyst",8,79
"12","Touch the Spirit Realm",3,78.6
"13","Null Rod",5,78
"14","Chancellor of the Annex",1,77.8
"15","Chrome Mox",1,77.8
"16","Lavinia, Azorius Renegade",1,77.8
"17","Elephant Grass",1,77.8
"18","Chandra, Awakened Inferno",6,77.5
"19","Abrade",16,77.2
"20","Court of Cunning",5,76.5
"21","The Tabernacle at Pendrell Vale",2,76.5
"22","Awaken the Woods",4,76.2
"23","Ingenious Smith",5,76
"24","March of Otherworldly Light",5,76
"25","Birds of Paradise",5,76
"26","Emrakul, the Promised End",5,76
"27","Sudden Demise",5,76
"28","Gemstone Caverns",3,76
"29","Cavern of Souls",3,76
"30","Pithing Needle",16,75.2
"31","Pyrokinesis",2,75
"32","Rending Volley",2,75
"33","Karn, the Great Creator",1,75
"34","Grindstone",1,75
"35","Portable Hole",1,75
"36","Repeal",1,75
"37","Nature's Claim",1,75
"38","Karn's Sylex",1,75
"39","Warping Wail",1,75
"40","Mila, Crafty Companion",1,75
"41","Thalia, Guardian of Thraben",1,75
"42","Soul-Guide Lantern",20,74.5
"43","Powder Keg",5,74.2
"44","Tourach, Dread Cantor",5,74.2
"45","Nihil Spellbomb",4,74.1
"46","Spoils of the Vault",3,73.9
"47","Crucible of Worlds",6,73.8
"48","Defense Grid",4,73.5
"49","Spirit of the Labyrinth",3,73.3
"50","Cathar Commando",2,73.3
