"","CardNames","DeckCount","WinrateAverage"
"1","Surgical Extraction",149,68.8
"2","Force of Negation",131,68.8
"3","Pyroblast",128,68.5
"4","Hydroblast",122,68.7
"5","Meltdown",93,68.9
"6","Force of Vigor",68,67.6
"7","Red Elemental Blast",64,67.8
"8","Submerge",63,68.9
"9","Leyline of the Void",50,68.4
"10","Rough // Tumble",48,68.3
"11","Counterbalance",45,71.1
"12","Endurance",44,68.1
"13","Faerie Macabre",42,69.2
"14","Mindbreak Trap",39,71.9
"15","Grafdigger's Cage",38,70.1
"16","Maddening Hex",35,69.1
"17","Deafening Silence",35,69.6
"18","Magus of the Moon",32,70
"19","Flusterstorm",32,66.5
"20","Carpet of Flowers",30,71.1
"21","Veil of Summer",28,68.7
"22","Minsc & Boo, Timeless Heroes",27,66.8
"23","Containment Priest",27,67.2
"24","Blue Elemental Blast",26,69.2
"25","Brazen Borrower",25,67.6
"26","Karakas",25,67.9
"27","Thoughtseize",25,68.5
"28","Yorion, Sky Nomad",25,67.5
"29","Collector Ouphe",24,67.1
"30","Hurkyl's Recall",23,68.4
"31","Unlicensed Hearse",23,67.1
"32","Swords to Plowshares",22,73.1
"33","Serenity",22,67.1
"34","Soul-Guide Lantern",20,74.5
"35","Dismember",19,69.3
"36","Plague Engineer",19,68.8
"37","Fiery Confluence",18,69.6
"38","Fury",17,71
"39","Price of Progress",17,63.1
"40","Progenitus",17,68.3
"41","Choke",17,70.2
"42","Abrade",16,77.2
"43","Pithing Needle",16,75.2
"44","Hullbreacher",16,68.7
"45","Wear // Tear",16,65.2
"46","Dead // Gone",16,70.3
"47","Engineered Explosives",15,70.5
"48","End the Festivities",14,65.3
"49","Prismatic Ending",14,62.9
"50","Torpor Orb",14,70.6
