"","CardNames","DeckCount","WinrateAverage"
"1","Enlightened Tutor",1,88.9
"2","Imperial Recruiter",1,88.9
"3","Ethersworn Canonist",1,88.9
"4","Goblin Cratermaker",1,88.9
"5","Orim's Chant",2,83.3
"6","Haywire Mite",2,82.4
"7","Metallic Rebuke",2,82.4
"8","Spire of Industry",2,82.4
"9","Silence",1,77.8
"10","Rain of Filth",1,77.8
"11","Emry, Lurker of the Loch",5,76.9
"12","Seat of the Synod",5,76.9
"13","Thoughtcast",5,76.9
"14","Thought Monitor",5,76.9
"15","Karn, the Great Creator",4,75.9
"16","Aether Spellbomb",7,75
"17","Pithing Needle",6,75
"18","Intuition",1,75
"19","Vengevine",1,75
"20","Burning Inquiry",1,75
"21","Basking Rootwalla",1,75
"22","Blazing Rootwalla",1,75
"23","Anje's Ravager",1,75
"24","Putrid Imp",1,75
"25","Anger",1,75
"26","Buried Alive",1,75
"27","Arclight Phoenix",1,75
"28","Day's Undoing",1,75
"29","Phyrexian Fleshgorger",1,75
"30","March of Otherworldly Light",5,74.4
"31","Lion's Eye Diamond",14,73.3
"32","Crop Rotation",2,73.3
"33","Yavimaya, Cradle of Growth",2,73.3
"34","Supreme Verdict",2,73.3
"35","Kappa Cannoneer",3,72.7
"36","Sai, Master Thopterist",3,72.7
"37","Plateau",7,71.7
"38","Echo of Eons",5,71.4
"39","Helm of Obedience",3,71.4
"40","The Mightstone and Weakstone",3,71.4
"41","Nadaar, Selfless Paladin",2,71.4
"42","Luminarch Aspirant",2,71.4
"43","Abrade",2,71.4
"44","Hagra Mauling",2,71.4
"45","Sheoldred, the Apocalypse",2,71.4
"46","Utopia Sprawl",1,71.4
"47","Destiny Spinner",1,71.4
"48","Solitary Confinement",1,71.4
"49","Sterling Grove",1,71.4
"50","Sythis, Harvest's Hand",1,71.4
