"","CardNames","DeckCount","WinrateAverage"
"1","Force of Will",137,66.3
"2","Brainstorm",133,66.1
"3","Ponder",130,66.1
"4","Misty Rainforest",124,66.4
"5","Polluted Delta",118,65.7
"6","Scalding Tarn",116,66.5
"7","Flooded Strand",114,66.3
"8","Lotus Petal",109,67.3
"9","Wasteland",102,66.3
"10","Volcanic Island",99,66.6
"11","Island",99,66.5
"12","Karakas",89,67.9
"13","Daze",88,66.8
"14","Ancient Tomb",86,67.9
"15","Mystic Sanctuary",80,66.7
"16","Expressive Iteration",80,66.6
"17","Swords to Plowshares",79,65.7
"18","City of Traitors",77,67.5
"19","Murktide Regent",68,67
"20","Lightning Bolt",68,67.5
"21","Cavern of Souls",67,67.6
"22","Plains",67,66.1
"23","Eiganjo, Seat of the Empire",66,67.4
"24","Underground Sea",65,66.2
"25","Solitude",64,67.3
"26","Mishra's Bauble",62,68.7
"27","Seasoned Dungeoneer",61,67.7
"28","Brazen Borrower",61,67.6
"29","Chrome Mox",60,68.3
"30","White Plume Adventurer",59,67.6
"31","Touch the Spirit Realm",56,67.7
"32","Delver of Secrets",55,67.3
"33","Pyroblast",54,67.7
"34","Dragon's Rage Channeler",54,67.3
"35","Palace Jailer",51,68
"36","Emeria's Call",49,68.6
"37","Tundra",46,65.5
"38","Snow-Covered Island",42,66.1
"39","Steam Vents",42,67.9
"40","Thoughtseize",41,63.7
"41","Unholy Heat",39,67.3
"42","Tropical Island",36,65.2
"43","Thalia, Guardian of Thraben",36,66.5
"44","Urza's Saga",35,68.9
"45","Snuff Out",34,65.4
"46","Archon of Emeria",33,67.8
"47","Prismatic Ending",32,64.9
"48","Grief",32,63.6
"49","Walking Ballista",32,66.8
"50","Marsh Flats",31,64.7
