"","PlayerS","NAppearances","TotalMatches","WinrateAverage","Winrate95Min","Winrate95Max","TotalPoints","ArchetypeNames","ArchetypeCounts","URL"
"1","HanktheObese",4,33,0.787878787878788,0.610919080325887,0.910195755457299,78,"Mono White Dungeon","4","https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-0812508244#deck_HanktheObese; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-2212512390#deck_HanktheObese; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-2812515838#deck_HanktheObese; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-2912515849#deck_HanktheObese"
"2","Promidnightz",4,34,0.735294117647059,0.556384631694893,0.871182608416492,75,"Mono White Dungeon","4","https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-0812508244#deck_Promidnightz; https://www.mtgo.com/en/mtgo/decklist/legacy-showcase-challenge-2023-01-1512509927#deck_Promidnightz; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-2812515838#deck_Promidnightz; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-2912515849#deck_Promidnightz"
"3","_INF_",4,31,0.741935483870968,0.553866065665103,0.881436004170449,69,"Reanimator; Izzet Delver; Dimir Death 's Shadow","1; 2; 1","https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-0712508235#deck__INF_; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-2112512379#deck__INF_; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-2212512390#deck__INF_; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-2812515838#deck__INF_"
"4","kentaro_hokori",4,31,0.67741935483871,0.48627017040725,0.833176362577041,63,"Izzet Delver","4","https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-0712508235#deck_kentaro_hokori; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-0812508244#deck_kentaro_hokori; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-2212512390#deck_kentaro_hokori; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-2912515849#deck_kentaro_hokori"
"5","CrusherBotBG",4,31,0.67741935483871,0.48627017040725,0.833176362577041,63,"Mono White Hammer","4","https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-2112512379#deck_CrusherBotBG; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-2212512390#deck_CrusherBotBG; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-2812515838#deck_CrusherBotBG; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-2912515849#deck_CrusherBotBG"
"6","aManatease",3,26,0.769230769230769,0.563524903058613,0.910259889115425,60,"4c Control","3","https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-0712508235#deck_aManatease; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-1412509953#deck_aManatease; https://www.mtgo.com/en/mtgo/decklist/legacy-showcase-challenge-2023-01-1512509927#deck_aManatease"
"7","McWinSauce",3,24,0.833333333333333,0.626158286511317,0.952646373392743,60,"Mono White Dungeon","3","https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-0812508244#deck_McWinSauce; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-1412509953#deck_McWinSauce; https://www.mtgo.com/en/mtgo/decklist/legacy-showcase-challenge-2023-01-1512509927#deck_McWinSauce"
"8","CoolUser",3,25,0.76,0.548711982183314,0.906435560668257,57,"Bant control; Cephalid breakfast","1; 2","https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-0712508235#deck_CoolUser; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-1412509953#deck_CoolUser; https://www.mtgo.com/en/mtgo/decklist/legacy-showcase-challenge-2023-01-1512509927#deck_CoolUser"
"9","Oceansoul92",4,28,0.642857142857143,0.440650312746667,0.813593339999555,54,"Izzet Delver; Dimir Death 's Shadow","1; 3","https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-0712508235#deck_Oceansoul92; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-1412509953#deck_Oceansoul92; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-2112512379#deck_Oceansoul92; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-2212512390#deck_Oceansoul92"
"10","JPA93",4,27,0.592592592592593,0.387983930259682,0.776102708649419,48,"Temur Delver; Temur Omnishow; Sneak & Show; Izzet Delver","1; 1; 1; 1","https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-0712508235#deck_JPA93; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-2112512379#deck_JPA93; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-2212512390#deck_JPA93; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-2912515849#deck_JPA93"
"11","ht991122",4,26,0.615384615384615,0.405707535298591,0.79773975634498,48,"Sneak & Show","4","https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-0712508235#deck_ht991122; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-1412509953#deck_ht991122; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-2812515838#deck_ht991122; https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-2912515849#deck_ht991122"
