"","Artist","NoCopies","Winrate"
"1","Rob Alexander",1089,0.671
"2","Christopher Rush",951,0.672
"3","Terese Nielsen",714,0.662
"4","Mark Tedin",589,0.658
"5","Kaja Foglio",474,0.669
"6","John Stanko",461,0.652
"7","Anastasia Ovchinnikova",448,0.669
"8","April Lee",427,0.658
"9","Nils Hamm",425,0.664
"10","Jesper Myrfors",414,0.647
"11","Jeff A. Menges",411,0.653
"12","Donato Giancola",390,0.665
"13","Matthew D. Wilson",347,0.679
"14","Una Fricker",347,0.673
"15","Colin MacNeil",341,0.656
"16","Kev Walker",338,0.652
"17","Brian Snõddy",332,0.67
"18","Shelly Wan",327,0.669
"19","Matt Stewart",320,0.662
"20","Ryan Pancoast",312,0.654
"21","Steven Belledin",288,0.661
"22","Philip Straub",282,0.671
"23","Lucas Graciano",272,0.682
"24","Cliff Childs",261,0.663
"25","Martina Fackova",240,0.686
"26","Paul Scott Canavan",232,0.671
"27","Adam Rex",218,0.667
"28","Joseph Weston",214,0.651
"29","rk post",212,0.651
"30","Nicholas Gregory",209,0.646
"31","Evan Shipard",205,0.658
"32","Aleksi Briclot",203,0.651
"33","Mark Zug",201,0.652
"34","Chippy",191,0.683
"35","Eric Deschamps",187,0.675
"36","Marta Nael",177,0.661
"37","Mike Ploog",175,0.659
"38","Anson Maddocks",169,0.658
"39","Titus Lunter",166,0.679
"40","Daniel Ljunggren",165,0.659
"41","Sandra Everingham",162,0.67
"42","Ron Spears",158,0.649
"43","Mark Poole",151,0.669
"44","Randy Vargas",147,0.675
"45","Igor Kieryluk",146,0.639
"46","Richard Thomas",133,0.649
"47","Vincent Proce",131,0.657
"48","Pete Venters",127,0.686
"49","Robert Bliss",127,0.66
"50","Dan Frazier",126,0.651
"51","Douglas Shuler",126,0.644
"52","Julian Kok Joon Wen",118,0.652
"53","Volkan Baǵa",115,0.661
"54","Izzy",113,0.67
"55","Nicola Leonard",112,0.662
"56","Rebecca Guay",111,0.647
"57","David Palumbo",103,0.646
"58","Jana Schirmer & Johannes Voss",99,0.659
"59","Scott M. Fischer",99,0.658
"60","Greg Hildebrandt",95,0.674
"61","Gabor Szikszai",88,0.663
"62","Vance Kovacs",86,0.671
"63","Raoul Vitale",86,0.69
"64","John Zeleznik",86,0.686
"65","Mike Bierek",84,0.657
"66","Carl Critchlow",79,0.652
"67","Sidharth Chaturvedi",79,0.639
"68","Joseph Meehan",77,0.643
"69","Svetlin Velinov",77,0.646
"70","Martina Pilcerova",74,0.675
"71","Franz Vohwinkel",74,0.653
"72","Dave DeVries",73,0.635
"73","Jason Chan",71,0.646
"74","John Avon",70,0.711
"75","Iain McCaig",70,0.648
"76","Zack Stella",67,0.656
"77","Chris Rahn",66,0.651
"78","Howard Lyon",66,0.663
"79","James Paick",65,0.65
"80","Margaret Organ-Kean",62,0.68
"81","Mike Dringenberg",62,0.687
"82","Jeff Laubenstein",62,0.669
"83","Tim Hildebrandt",61,0.672
"84","Andrew Mar",60,0.637
"85","Chris Rallis",59,0.674
"86","Andreas Zafiratos",59,0.634
"87","Jesper Ejsing",57,0.675
"88","Erica Yang",55,0.642
"89","David Rapoza",52,0.649
"90","Marcela Medeiros",52,0.619
"91","Dany Orizio",52,0.617
"92","Val Mayerik",47,0.679
"93","Christopher Moeller",47,0.654
"94","Filip Burburan",46,0.635
"95","Dmitry Burmak",45,0.632
"96","Min Yum",44,0.688
"97","Kari Christensen",41,0.681
"98","Greg Simanson",41,0.691
"99","Anthony S. Waters",39,0.659
"100","Jonas De Ro",39,0.685
"101","Jehan Choo",38,0.681
"102","Tom Wänerstrand",38,0.685
"103","D. Alexander Gregory",37,0.655
"104","Greg Staples",37,0.634
"105","Jerry Tiritilli",36,0.638
"106","Lucas Staniec",35,0.633
"107","Sam Burley",34,0.673
"108","Yongjae Choi",33,0.651
"109","Victor Adame Minguez",33,0.667
"110","Lawrence Snelly",31,0.687
"111","Jason Rainville",31,0.647
"112","Scott Murphy",30,0.626
"113","Yeong-Hao Han",29,0.676
"114","Randy Gallegos",29,0.679
"115","Ron Spencer",29,0.645
"116","Amy Weber",29,0.643
"117","Daarken",28,0.639
"118","Adam Paquette",28,0.648
"119","Livia Prima",27,0.725
"120","Cyril Van Der Haegen",26,0.697
"121","Matt Cavotta",26,0.638
"122","Bastien L. Deharme",25,0.649
"123","Lake Hurwitz",25,0.633
"124","Yigit Koroglu",24,0.667
"125","Ryan Yee",23,0.623
"126","Tomasz Jedruszek",23,0.607
"127","Chris Ostrowski",22,0.65
"128","Eric Fortune",22,0.644
"129","Adrian Smith",20,0.703
"130","Nicholas Elias",20,0.676
"131","Johannes Voss",18,0.62
"132","Pat Morrissey",17,0.618
"133","Seb McKinnon",17,0.662
"134","Alex Konstad",16,0.633
"135","Susan Van Camp",16,0.632
"136","Shishizaru",16,0.63
"137","Thomas M. Baxa",16,0.63
"138","Andrew Goldhawk",16,0.636
"139","Richard Kane Ferguson",16,0.694
"140","Jim Nelson",15,0.674
"141","Alayna Danner",15,0.671
"142","Stephan Martiniere",15,0.71
"143","Jaime Jones",15,0.647
"144","Lie Setiawan",15,0.553
"145","Mark Brill",15,0.609
"146","DiTerlizzi",14,0.676
"147","Jeremy Enecio",14,0.688
"148","Wayne Reynolds",14,0.672
"149","Wisnu Tan",13,0.778
"150","Drew Tucker",13,0.652
"151","Raymond Swanland",13,0.618
"152","Wesley Burt",12,0.661
"153","Tomas Giorello",12,0.633
"154","Larry MacDougall",12,0.63
"155","Tom Kyffin",12,0.63
"156","Slawomir Maniak",12,0.676
"157","Melissa A. Benson",12,0.526
"158","Justin Hampton",11,0.667
"159","Tia Masic",11,0.5
"160","Kieran Yanner",11,0.625
"161","Jean-Sébastien Rossbach",10,0.703
"162","Cristi Balanescu",10,0.714
"163","Jeremy Jarvis",10,0.632
"164","Sarah Finnigan",10,0.676
"165","Steve Prescott",9,0.674
"166","Gary Ruddell",9,0.579
"167","Fred Fields",9,0.526
"168","Johann Bodin",9,0.69
"169","Todd Lockwood",8,0.644
"170","Micah Epstein",8,0.615
"171","Richard Wright",7,0.614
"172","Ekaterina Burmak",7,0.643
"173","Bud Cook",7,0.643
"174","Jeff Miracola",7,0.643
"175","Anthony Palumbo",6,0.714
"176","Heather Hudson",6,0.708
"177","Zoltan Boros",6,0.644
"178","Magali Villeneuve",6,0.636
"179","Mila Pesic",6,0.688
"180","Rovina Cai",6,0.571
"181","Zezhou Chen",5,0.703
"182","Anthony Jones",5,0.639
"183","Zoltan Boros & Gabor Szikszai",5,0.733
"184","Wayne England",5,0.643
"185","Anna Steinbauer",5,0.679
"186","Lars Grant-West",5,0.6
"187","Craig J Spearing",5,0.583
"188","Daren Bader",4,0.643
"189","Jokubas Uogintas",4,0.75
"190","Antonio José Manzanedo",4,0.75
"191","Brian Horton",4,0.75
"192","Kekai Kotaki",4,0.615
"193","Bob Eggleton",4,0.714
"194","Michael Komarck",4,0.667
"195","YW Tang",4,0.583
"196","Bryan Talbot",4,0.5
"197","Alan Rabinowitz",4,0.5
"198","Steve Argyle",4,0.5
"199","Manuel Castañón",4,0.5
"200","Sue Ellen Brown",4,0.5
"201","Brent Hollowell",3,0.739
"202","Mitsuaki Sagiri",2,0.889
"203","Anthony Francisco",2,0.688
"204","Caio Monteiro",2,0.643
"205","Mark Behm",2,0.643
"206","Yohann Schepacz",2,0.615
"207","Harold McNeill",2,0.571
"208","Jake Murray",2,0.667
"209","Chris Cold",2,0.667
"210","Konstantin Porubov",2,0.5
"211","Darrell Riche",2,0.5
"212","Stephen Daniele",1,0.778
"213","Liz Danforth",1,0.714
"214","Clint Cearley",1,0.667
"215","Brad Rigney",1,0.667
"216","Dave Kendall",1,0.667
"217","Simon Dominic",1,0.5
"218","Campbell White",1,0.5
