"","CardNames","DeckCount","WinrateAverage"
"1","Force of Will",183,66.8
"2","Brainstorm",166,66.3
"3","Ponder",157,66.2
"4","Polluted Delta",149,67.3
"5","Lotus Petal",148,68.4
"6","Misty Rainforest",140,66.4
"7","Scalding Tarn",133,66.9
"8","Flooded Strand",132,67.1
"9","Wasteland",128,66.3
"10","Volcanic Island",127,66.8
"11","Daze",120,67.2
"12","Island",115,65.8
"13","Mishra's Bauble",107,67.8
"14","Expressive Iteration",104,66.8
"15","Ancient Tomb",102,68.6
"16","Lightning Bolt",99,66.7
"17","Mystic Sanctuary",97,66.5
"18","Underground Sea",90,68.3
"19","Murktide Regent",87,66.4
"20","Karakas",84,68
"21","Dragon's Rage Channeler",81,66.9
"22","City of Traitors",79,67.6
"23","Swords to Plowshares",79,68.2
"24","Delver of Secrets",79,66.5
"25","Chrome Mox",73,67.9
"26","Cavern of Souls",72,68.8
"27","Brazen Borrower",65,66.1
"28","Eiganjo, Seat of the Empire",62,69.4
"29","Solitude",61,68.4
"30","Urza's Saga",60,69
"31","White Plume Adventurer",58,68.5
"32","Touch the Spirit Realm",57,68.3
"33","Palace Jailer",55,68.3
"34","Seasoned Dungeoneer",55,68.5
"35","Plains",55,67.1
"36","Elite Spellbinder",53,68.7
"37","Snow-Covered Island",52,67.7
"38","Thoughtseize",52,68.4
"39","Emeria's Call",52,68.4
"40","Archon of Emeria",49,69.2
"41","Verdant Catacombs",48,66.5
"42","Tundra",48,65.2
"43","Marsh Flats",47,68.3
"44","Snow-Covered Plains",46,67.4
"45","Steam Vents",46,64.9
"46","Swamp",44,68.1
"47","Griselbrand",44,67.6
"48","Pyroblast",44,62.7
"49","Dark Ritual",43,68.6
"50","Snuff Out",42,67.8
