"","CardNames","DeckCount","WinrateAverage"
"1","Fiend Hunter",1,90
"2","Benthic Biomancer",1,90
"3","Arcades, the Strategist",1,88.9
"4","Wanderwine Hub",2,83.3
"5","Elspeth Conquers Death",2,82.4
"6","Flayer Husk",2,82.4
"7","Hooting Mandrills",2,81.8
"8","Fetid Heath",1,81.8
"9","Stirring Wildwood",1,81.8
"10","Oran-Rief Hydra",1,81.8
"11","Grim Tutor",1,80
"12","Dream Twist",1,80
"13","Winds of Abandon",11,79.4
"14","Spectral Sailor",9,79.2
"15","Ranger of Eos",4,78.9
"16","Smallpox",2,78.9
"17","Scrabbling Claws",7,78.5
"18","Remorseful Cleric",8,77.8
"19","Grafdigger's Cage",3,77.8
"20","Myr Battlesphere",3,77.8
"21","Zulaport Cutthroat",3,77.8
"22","Skyclave Cleric",3,77.8
"23","Ghirapur Aether Grid",2,77.8
"24","Urza's Factory",2,77.8
"25","Experimental Frenzy",1,77.8
"26","Spell Burst",1,77.8
"27","Pteramander",1,77.8
"28","Homing Sliver",1,77.8
"29","Spiteful Sliver",1,77.8
"30","Kird Ape",1,77.8
"31","Lumbering Falls",1,77.8
"32","Maximize Velocity",1,77.8
"33","Dovin, Hand of Control",1,77.8
"34","Interplanar Beacon",1,77.8
"35","Abominable Treefolk",1,77.8
"36","Fabled Passage",1,77.8
"37","Hanged Executioner",1,77.8
"38","Vedalken Shackles",1,77.8
"39","Caustic Caterpillar",1,77.8
"40","Pyroclasm",1,77.8
"41","Kess, Dissident Mage",1,77.8
"42","Dimir Aqueduct",1,77.8
"43","Painful Truths",1,77.8
"44","Crystalline Giant",1,77.8
"45","Tidebinder Mage",1,77.8
"46","Tajuru Paragon",1,77.8
"47","Sisay, Weatherlight Captain",1,77.8
"48","Niambi, Esteemed Speaker",1,77.8
"49","Gallia of the Endless Dance",6,77.4
"50","Hidden Herbalists",6,77.4
