"","CardNames","DeckCount","Winrate95Min"
"1","Tormod's Crypt",517,71.3
"2","Ceremonious Rejection",400,71.1
"3","Aether Gust",950,70.8
"4","Veil of Summer",1402,70.8
"5","Kaya's Guile",43,70.7
"6","Mystical Dispute",846,70.7
"7","Ashiok, Dream Render",777,70.7
"8","Unearth",84,70.6
"9","Engineered Explosives",551,70.3
"10","Grafdigger's Cage",749,70.2
"11","Celestial Purge",483,70
"12","Sundering Titan",216,69.9
"13","Walking Ballista",340,69.9
"14","Liquimetal Coating",382,69.9
"15","Wheel of Sun and Moon",39,69.8
"16","Assassin's Trophy",190,69.8
"17","Weather the Storm",258,69.8
"18","Timely Reinforcements",341,69.8
"19","Collective Brutality",449,69.8
"20","Lurrus of the Dream-Den",626,69.8
"21","Damping Sphere",587,69.8
"22","Supreme Verdict",146,69.7
"23","Tireless Tracker",231,69.7
"24","Wurmcoil Engine",301,69.7
"25","Thoughtseize",342,69.7
"26","Bring to Light",2,69.6
"27","Bojuka Bog",26,69.6
"28","Soul-Guide Lantern",317,69.6
"29","Relic of Progenitus",671,69.6
"30","Unmoored Ego",55,69.5
"31","Fatal Push",308,69.5
"32","Collector Ouphe",290,69.5
"33","Spatial Contortion",264,69.5
"34","Abrupt Decay",132,69.4
"35","Pact of Negation",196,69.4
"36","Kolaghan's Command",246,69.4
"37","Sorcerous Spyglass",258,69.4
"38","Nihil Spellbomb",439,69.4
"39","Dismember",584,69.4
"40","Path to Exile",522,69.4
"41","On Thin Ice",31,69.3
"42","Torpor Orb",170,69.3
"43","Disdainful Stroke",272,69.3
"44","Ensnaring Bridge",374,69.3
"45","Anger of the Gods",345,69.3
"46","Skysovereign, Consul Flagship",205,69.2
"47","Choke",198,69.2
"48","Teferi, Time Raveler",64,69
"49","Dovin's Veto",178,69
"50","Reclamation Sage",202,69
