"","CardNames","DeckCount","WinrateAverage"
"1","Veil of Summer",1402,71.7
"2","Aether Gust",950,71.8
"3","Mystical Dispute",846,71.8
"4","Ashiok, Dream Render",777,71.8
"5","Grafdigger's Cage",749,71.4
"6","Relic of Progenitus",671,70.8
"7","Lurrus of the Dream-Den",626,71.1
"8","Damping Sphere",587,71.1
"9","Dismember",584,70.8
"10","Engineered Explosives",551,71.7
"11","Path to Exile",522,70.8
"12","Tormod's Crypt",517,72.6
"13","Celestial Purge",483,71.4
"14","Boil",474,70.4
"15","Collective Brutality",449,71.3
"16","Nihil Spellbomb",439,70.9
"17","Abrade",427,70.2
"18","Ceremonious Rejection",400,72.7
"19","Pithing Needle",391,70.4
"20","Liquimetal Coating",382,71.5
"21","Rest in Peace",377,70.4
"22","Ensnaring Bridge",374,71
"23","Blood Moon",363,70.1
"24","Anger of the Gods",345,71
"25","Thoughtseize",342,71.4
"26","Timely Reinforcements",341,71.5
"27","Walking Ballista",340,71.6
"28","Soul-Guide Lantern",317,71.3
"29","Surgical Extraction",310,70.5
"30","Nature's Claim",309,70.8
"31","Fatal Push",308,71.4
"32","Wurmcoil Engine",301,71.5
"33","Collector Ouphe",290,71.4
"34","Kor Firewalker",288,70.3
"35","Leyline of Sanctity",279,70.7
"36","Disdainful Stroke",272,71.3
"37","Plague Engineer",269,70.3
"38","Spatial Contortion",264,71.4
"39","Sorcerous Spyglass",258,71.4
"40","Weather the Storm",258,71.7
"41","Kolaghan's Command",246,71.5
"42","Auriok Champion",238,69.9
"43","Tireless Tracker",231,71.8
"44","Kozilek's Return",230,69.9
"45","Obstinate Baloth",227,70.9
"46","Cleansing Wildfire",226,70.1
"47","Force of Vigor",219,71.1
"48","Sundering Titan",216,72.1
"49","Skysovereign, Consul Flagship",205,71.4
"50","Reclamation Sage",202,71.2
