"","CardNames","DeckCount","Winrate95Min"
"1","Metallic Rebuke",27,66.9
"2","Aether Spellbomb",18,66.8
"3","Engineered Explosives",38,66.5
"4","Cryptic Command",39,66.4
"5","Urza, Lord High Artificer",31,66.3
"6","Mishra's Bauble",40,66.3
"7","Arcum's Astrolabe",49,66.3
"8","Mox Opal",32,66.1
"9","Breeding Pool",78,66.1
"10","Mystic Sanctuary",38,65.9
"11","Snow-Covered Forest",77,65.9
"12","Snow-Covered Island",67,65.8
"13","Polluted Delta",47,65.7
"14","Oko, Thief of Crowns",70,65.6
"15","Emry, Lurker of the Loch",24,65.5
"16","Archmage's Charm",29,65.5
"17","Spatial Contortion",5,65.4
"18","Gilded Goose",34,65.3
"19","Flooded Strand",49,65.3
"20","Misty Rainforest",71,65.2
"21","Ice-Fang Coatl",34,64.4
"22","Scalding Tarn",38,63.8
"23","Cavern of Souls",53,63.6
"24","Once Upon a Time",51,63.3
"25","Blast Zone",47,63.2
"26","Windswept Heath",34,62.4
"27","Thought-Knot Seer",33,62.4
"28","Eldrazi Temple",33,62.4
"29","Hallowed Fountain",28,62.3
"30","Expedition Map",39,62.2
"31","Urza's Mine",39,62.2
"32","Urza's Power Plant",39,62.2
"33","Urza's Tower",39,62.2
"34","Reality Smasher",32,62.1
"35","Chalice of the Void",32,62.1
"36","Forest",56,62.1
"37","Matter Reshaper",30,62
"38","Karn, the Great Creator",46,62
"39","Ugin, the Ineffable",25,61.9
"40","Watery Grave",26,61.7
"41","Wastes",30,61.7
"42","Walking Ballista",43,61.7
"43","Dismember",49,61.7
"44","Dryad Arbor",9,61.4
"45","Scavenger Grounds",16,61.3
"46","Radiant Fountain",19,61.3
"47","Primeval Titan",22,61.3
"48","Summoner's Pact",22,61.3
"49","Field of the Dead",22,61.3
"50","Snow-Covered Plains",26,61.3
