"","SetCode","NoCopies","Winrate"
"1","ELD",1051,0.688
"2","MH1",1009,0.679
"3","ZEN",767,0.681
"4","OGW",640,0.683
"5","LEA",572,0.648
"6","ONS",568,0.672
"7","WAR",553,0.684
"8","ATQ",472,0.677
"9","ICE",423,0.695
"10","WWK",422,0.67
"11","NPH",379,0.683
"12","FUT",379,0.676
"13","SOM",356,0.678
"14","ROE",337,0.674
"15","DIS",316,0.679
"16","RAV",311,0.66
"17","AER",298,0.681
"18","M20",283,0.676
"19","CON",274,0.678
"20","MRD",228,0.685
"21","LRW",224,0.681
"22","TSP",209,0.657
"23","KTK",204,0.663
"24","KLD",185,0.672
"25","GPT",183,0.646
"26","DKA",167,0.679
"27","DOM",167,0.691
"28","5DN",164,0.683
"29","CHK",163,0.67
"30","CSP",160,0.714
"31","M11",152,0.679
"32","ISD",147,0.667
"33","RTR",134,0.682
"34","XLN",130,0.682
"35","GRN",126,0.669
"36","SHM",126,0.636
"37","DST",123,0.666
"38","EMN",112,0.634
"39","SOI",111,0.659
"40","AVR",101,0.68
"41","RNA",96,0.645
"42","SOK",90,0.684
"43","MBS",87,0.675
"44","AKH",87,0.674
"45","FRF",81,0.66
"46","DRK",80,0.69
"47","STH",79,0.674
"48","HOU",76,0.668
"49","ALA",75,0.691
"50","GTC",67,0.629
"51","BFZ",64,0.682
"52","M15",62,0.684
"53","INV",62,0.667
"54","M12",58,0.676
"55","MOR",52,0.668
"56","WTH",45,0.674
"57","JOU",45,0.637
"58","ARB",45,0.612
"59","THS",37,0.635
"60","JUD",32,0.662
"61","PLS",31,0.661
"62","ULG",30,0.678
"63","DTK",30,0.601
"64","EVE",29,0.71
"65","M13",29,0.654
"66","M19",29,0.667
"67","CMD",28,0.644
"68","PLC",26,0.683
"69","BNG",18,0.681
"70","ORI",16,0.673
"71","M14",14,0.714
"72","LEG",12,0.733
"73","APC",11,0.667
"74","TMP",11,0.659
"75","DGM",9,0.632
"76","ALL",8,0.5
"77","RIX",5,0.667
"78","USG",5,0.75
"79","POR",3,0.652
"80","ARN",3,0.609
"81","P02",3,0.5
"82","M10",2,0.714
"83","SCG",1,0.75
