"","Artist","NoCopies","Winrate"
"1","Rob Alexander",14479,0.693
"2","Christopher Rush",7989,0.692
"3","Steve Argyle",3516,0.687
"4","Tomasz Jedruszek",3330,0.695
"5","Vincent Proce",3104,0.7
"6","Douglas Shuler",3078,0.687
"7","Todd Lockwood",3072,0.689
"8","Anson Maddocks",3055,0.7
"9","Terese Nielsen",3025,0.688
"10","Eric Deschamps",2971,0.692
"11","Adam Paquette",2942,0.69
"12","Aleksi Briclot",2919,0.693
"13","Chippy",2874,0.696
"14","Kev Walker",2651,0.687
"15","Franz Vohwinkel",2631,0.69
"16","Shelly Wan",2620,0.695
"17","Mark Poole",2569,0.689
"18","John Avon",2490,0.692
"19","Daarken",2475,0.694
"20","Mark Zug",2374,0.686
"21","Svetlin Velinov",2345,0.69
"22","Raymond Swanland",2202,0.689
"23","Lake Hurwitz",2110,0.699
"24","Seb McKinnon",2063,0.69
"25","Mark Tedin",1996,0.684
"26","Ron Spears",1946,0.696
"27","Cynthia Sheppard",1890,0.695
"28","Chris Rahn",1880,0.696
"29","James Paick",1830,0.686
"30","Jason Chan",1797,0.691
"31","Daniel Ljunggren",1793,0.695
"32","Vance Kovacs",1792,0.687
"33","Dave Kendall",1792,0.687
"34","Randy Vargas",1768,0.696
"35","Ryan Pancoast",1738,0.682
"36","Jonas De Ro",1726,0.678
"37","Darrell Riche",1688,0.694
"38","Cliff Childs",1678,0.688
"39","Matt Stewart",1654,0.688
"40","Anthony S. Waters",1639,0.684
"41","Philip Straub",1632,0.702
"42","Dimitar Marinski",1598,0.69
"43","Paul Scott Canavan",1560,0.697
"44","Sam Burley",1552,0.694
"45","Wayne England",1535,0.697
"46","Tom Wänerstrand",1523,0.684
"47","Chase Stone",1478,0.689
"48","Jason Rainville",1466,0.689
"49","Wisnu Tan",1459,0.691
"50","Johann Bodin",1419,0.696
"51","Pat Morrissey",1389,0.698
"52","Howard Lyon",1388,0.686
"53","Igor Kieryluk",1336,0.711
"54","Christopher Moeller",1316,0.689
"55","Filip Burburan",1286,0.704
"56","Magali Villeneuve",1238,0.69
"57","Chris Rallis",1231,0.698
"58","Warren Mahy",1201,0.689
"59","Jean-Sébastien Rossbach",1187,0.685
"60","Yeong-Hao Han",1186,0.683
"61","Jeff Miracola",1184,0.689
"62","Heather Hudson",1172,0.683
"63","Michael Komarck",1155,0.684
"64","Pete Venters",1152,0.684
"65","Michael Sutfin",1120,0.68
"66","Greg Hildebrandt",1116,0.679
"67","Volkan Baǵa",1075,0.696
"68","Dmitry Burmak",1056,0.678
"69","Victor Adame Minguez",1041,0.677
"70","Ekaterina Burmak",1039,0.7
"71","Noah Bradley",1030,0.691
"72","Jesper Myrfors",969,0.686
"73","rk post",965,0.686
"74","Izzy",944,0.688
"75","Cyril Van Der Haegen",940,0.69
"76","Steven Belledin",897,0.693
"77","Jason Felix",886,0.685
"78","Kieran Yanner",860,0.687
"79","Justin Murray",843,0.692
"80","Dan Scott",838,0.693
"81","Mark A. Nelson",824,0.691
"82","Scott Murphy",808,0.693
"83","John Howe",795,0.687
"84","Alayna Danner",788,0.703
"85","Mike Bierek",761,0.687
"86","Ben Thompson",755,0.697
"87","Greg Staples",706,0.687
"88","Jaime Jones",676,0.685
"89","Dominick Domingo",675,0.689
"90","Zoltan Boros",673,0.68
"91","Dan Frazier",671,0.69
"92","David Palumbo",656,0.69
"93","Richard Wright",652,0.678
"94","Jung Park",646,0.685
"95","Austin Hsu",637,0.686
"96","Lius Lasahido",630,0.672
"97","Caio Monteiro",629,0.701
"98","Chris Ostrowski",616,0.689
"99","Nicholas Gregory",597,0.691
"100","Jana Schirmer & Johannes Voss",572,0.69
"101","Dave DeVries",568,0.682
"102","Randy Gallegos",567,0.694
"103","Adam Rex",564,0.677
"104","Slawomir Maniak",554,0.69
"105","Mathias Kollros",549,0.671
"106","Nils Hamm",547,0.691
"107","Donato Giancola",538,0.665
"108","Richard Kane Ferguson",532,0.68
"109","Craig J Spearing",504,0.687
"110","Jesper Ejsing",501,0.678
"111","Karl Kopinski",466,0.684
"112","David Martin",465,0.676
"113","Johannes Voss",459,0.686
"114","Zoltan Boros & Gabor Szikszai",448,0.689
"115","Willian Murai",428,0.686
"116","Luca Zontini",415,0.684
"117","Erica Yang",414,0.68
"118","Heonhwa Choe",411,0.683
"119","Brom",408,0.692
"120","Lindsey Look",402,0.704
"121","Deruchenko Alexander",395,0.703
"122","John Stanko",379,0.685
"123","Scott M. Fischer",370,0.68
"124","Chuck Lukacs",356,0.685
"125","Edward P. Beard, Jr.",352,0.675
"126","Alex Horley-Orlandelli",351,0.681
"127","Grzegorz Rutkowski",348,0.705
"128","Jim Nelson",340,0.706
"129","Alan Pollack",332,0.686
"130","Zack Stella",316,0.699
"131","David Gaillet",306,0.687
"132","Khang Le",296,0.697
"133","Carl Critchlow",295,0.676
"134","Rebecca Guay",294,0.681
"135","David Rapoza",290,0.695
"136","Livia Prima",287,0.726
"137","Charles Urbach",285,0.689
"138","Dave Allsop",281,0.698
"139","Jeremy Jarvis",280,0.681
"140","Caroline Gariba",273,0.684
"141","Lie Setiawan",273,0.678
"142","Wesley Burt",261,0.694
"143","Gabor Szikszai",258,0.686
"144","Mark Behm",258,0.675
"145","Jama Jurabaev",252,0.682
"146","Don Hazeltine",251,0.711
"147","Anthony Francisco",248,0.69
"148","Christine Choi",243,0.674
"149","Jeremy Enecio",241,0.699
"150","Fred Fields",241,0.691
"151","Adi Granov",241,0.696
"152","Wayne Reynolds",239,0.698
"153","Ron Spencer",234,0.686
"154","Steve Prescott",234,0.692
"155","Phil Foglio",232,0.705
"156","James Ryman",229,0.715
"157","Thomas M. Baxa",213,0.696
"158","Lars Grant-West",213,0.674
"159","Sam Wood",204,0.67
"160","Hideaki Takamura",203,0.693
"161","Hugh Jamieson",203,0.688
"162","Raoul Vitale",196,0.661
"163","Bryan Sola",192,0.667
"164","Bayard Wu",190,0.699
"165","Bastien L. Deharme",186,0.699
"166","Yongjae Choi",181,0.708
"167","D. Alexander Gregory",171,0.695
"168","Tony Szczudlo",170,0.676
"169","Brandon Kitkouski",159,0.672
"170","YW Tang",157,0.693
"171","Jim Murray",154,0.695
"172","Martina Pilcerova",153,0.683
"173","Winona Nelson",149,0.68
"174","Mark Brill",137,0.681
"175","Anastasia Ovchinnikova",135,0.672
"176","Daniel Gelon",134,0.67
"177","Mark Winters",128,0.706
"178","Daren Bader",125,0.669
"179","Marc Simonetti",124,0.735
"180","Una Fricker",123,0.654
"181","G-host Lee",117,0.683
"182","Suzanne Helmigh",117,0.654
"183","Tim Hildebrandt",115,0.686
"184","Tyler Walpole",114,0.716
"185","Bryon Wackwitz",114,0.675
"186","Joseph Meehan",113,0.679
"187","Tommy Arnold",112,0.674
"188","Peter Mohrbacher",111,0.662
"189","Ryan Yee",111,0.676
"190","Simon Dominic",110,0.675
"191","Eytan Zana",107,0.698
"192","Matt Cavotta",107,0.683
"193","Dany Orizio",104,0.727
"194","Amy Weber",104,0.65
"195","Campbell White",102,0.673
"196","Bram Sels",101,0.689
"197","Stephen Tappin",101,0.701
"198","Ralph Horsley",100,0.673
"199","Titus Lunter",98,0.693
"200","Piotr Dura",98,0.656
"201","Forrest Imel",95,0.688
"202","Jakub Kasper",90,0.689
"203","Jack Wang",89,0.706
"204","Lucas Graciano",89,0.705
"205","Andrey Kuzinskiy",89,0.671
"206","Allen Williams",86,0.667
"207","Scott Hampton",84,0.662
"208","Aaron Miller",81,0.703
"209","Anthony Jones",78,0.696
"210","Melissa A. Benson",74,0.688
"211","Chris Seaman",73,0.683
"212","Scott Chou",73,0.662
"213","Omar Rayyan",71,0.691
"214","John Donahue",69,0.757
"215","Robbie Trevino",68,0.634
"216","DiTerlizzi",67,0.7
"217","Mark Romanoski",67,0.678
"218","Glen Angus",64,0.708
"219","David Hudnut",61,0.704
"220","Brad Rigney",61,0.65
"221","Clint Cearley",59,0.691
"222","Lucas Staniec",57,0.672
"223","Johan Grenier",57,0.664
"224","Jana Schirmer",56,0.688
"225","Doug Chaffee",56,0.665
"226","Eric Fortune",53,0.674
"227","Goran Josic",52,0.67
"228","Mike Dringenberg",50,0.719
"229","Bud Cook",50,0.688
"230","Brian Snõddy",47,0.684
"231","Jehan Choo",43,0.741
"232","Michael Phillippi",42,0.698
"233","Kaja Foglio",42,0.671
"234","John Matson",38,0.699
"235","Greg Opalinski",37,0.635
"236","Anna Steinbauer",36,0.7
"237","Florian de Gesincourt",34,0.636
"238","Chris J. Anderson",31,0.708
"239","Jokubas Uogintas",30,0.636
"240","John Zeleznik",29,0.683
"241","E. M. Gist",27,0.75
"242","Steve Ellis",27,0.684
