"","PlayerS","NAppearances","TotalMatches","WinrateAverage","Winrate95Min","Winrate95Max","TotalPoints","ArchetypeNames","ArchetypeCounts","URL"
"1","Sodeq",25,218,0.76605504587156,0.704147134759662,0.820574978764131,501,"Dredge; Amulet Titan; Ad Nauseam; Oops All Spells; Belcher","13; 1; 7; 2; 2","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-01-1212066155#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-01-1912071840#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-02-0912086268#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-02-2312094308#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-04-0412124688#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-04-1812138051#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-04-1912138057#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-04-2512143029#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-1012152345#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-06-2712174832#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-07-0412176992#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-07-0512176998#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2020-08-0812192340#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-08-1512195644#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-0612203380#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-1212206257#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-2612211158#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-10-1712218052#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-0812225888#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2020-11-0812225853#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-2212231143#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-2212231149#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-12-0612235633#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-12-1312238076#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-12-1312238082#deck_Sodeq"
"2","TSPJendrek",24,198,0.722222222222222,0.654282534869162,0.78337506427294,429,"Stoneblade; WUBG Control; Dimir Control; Miracles; Esper Control; UBRG Control; Sultai Control; Jeskai Control","4; 2; 3; 2; 1; 1; 9; 2","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-02-1612090356#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-03-1412106061#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-03-2112110950#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-04-2512143029#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-0212148176#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-0912152339#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-1612155974#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-1712155980#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-3112162936#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2020-06-0612165548#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-06-0712165588#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-06-1312168596#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-07-0412176992#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-08-0212189343#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-08-1612195650#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-0512203374#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-1212206257#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-2612211158#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-10-1012216047#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-10-2512221071#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-10-3112223580#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-12-0612235633#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-12-1312238082#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-12-2012240496#deck_TSPJendrek"
"3","musasabi",21,174,0.695402298850575,0.621222042805318,0.76278609163433,363,"Jund Midrange; Smallpox; Amulet Titan; Hardened Scales; Heliod Combo; 5 Color Humans; Reclaimer Titan; Orzhov Midrange; Omnath Saheeli; Shadow Prowess; WURG Control","2; 1; 4; 2; 1; 1; 4; 1; 1; 3; 1","https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2020-01-2612076811#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-02-2312094308#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-03-0812102014#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-04-1912138057#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-04-2512143029#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-1712155980#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-3112162936#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-06-1412168602#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2020-07-1112179934#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-08-1512195644#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-08-1612195650#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-0612203380#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-1312206263#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-2612211158#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-10-1812218058#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-10-2512221071#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-0112223585#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-1512228504#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-1512228510#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-2212231149#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-2912233116#deck_musasabi"
"4","Laplasjan",21,172,0.703488372093023,0.629220736839559,0.770591875601099,363,"Eldrazi Tron; Gruul Midrange; Devoted Combo; Amulet Titan; Hammer Time","3; 1; 14; 1; 2","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-03-0812102014#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-03-1412106061#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-03-2812117274#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-04-0412124688#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-04-2612143035#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-0212148176#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-0312148182#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-1012152345#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-2412159783#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-06-0712165588#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-06-1312168596#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-07-0512176998#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-08-0912192346#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-08-1512195644#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-1312206263#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-2612211158#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-0112223585#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-0812225888#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-2212231143#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-12-2012240496#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-12-2012240502#deck_Laplasjan"
"5","SebastianStueckl",22,169,0.680473372781065,0.604494015107803,0.749990913887016,345,"Dredge; 5 Color Humans; Jund Midrange; WURG Control; Gruul Midrange; Green Tron; Boros Prowess; Goblins; Bogles; Obosh Aggro; Sultai Control; Belcher; Mono White Taxes","3; 1; 1; 1; 5; 2; 2; 1; 1; 2; 1; 1; 1","https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2020-01-2612076811#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-02-0212081604#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-04-1912138057#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-04-2612143035#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-0212148176#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-1012152345#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-1712155980#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2020-06-0612165548#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-06-1312168596#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-06-1412168602#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-06-2712174832#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-07-2512186204#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-08-0912192346#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-0512203374#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-0612203380#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-1212206257#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-1312206263#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-1912208829#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-2012208833#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-10-1112216053#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-10-3112223580#deck_SebastianStueckl; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-1512228510#deck_SebastianStueckl"
"6","kanister",17,143,0.734265734265734,0.65397436113212,0.804587437224779,315,"Amulet Titan; Rakdos Prowess; 5 Color Humans; Reclamation; Bant Control; Sultai Control; Oops All Spells; Omnath Saheeli; Dimir Control; Shadow Prowess; Bant Blink; Simic Titan","2; 1; 3; 1; 1; 1; 1; 1; 2; 1; 1; 2","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-01-1912071840#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2020-01-2612076811#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-1612155974#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-06-2012171462#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-07-1812182539#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-08-1512195644#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-0612203380#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-1312206263#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-2612211158#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2020-10-0312213685#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-10-1112216053#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-1512228504#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-1512228510#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-2912233110#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-12-1312238076#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-12-1312238082#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-12-2012240502#deck_kanister"
"7","McWinSauce",15,126,0.722222222222222,0.635411760993627,0.7982839665552,273,"Bant Control; Stoneblade; UBRG Control; WURG Control","2; 5; 1; 7","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-01-1212066155#deck_McWinSauce; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2020-01-2612076811#deck_McWinSauce; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-02-0212081604#deck_McWinSauce; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-03-0812102014#deck_McWinSauce; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-04-1912138057#deck_McWinSauce; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2020-06-0612165548#deck_McWinSauce; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-06-2812174833#deck_McWinSauce; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-0612203380#deck_McWinSauce; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-2012208833#deck_McWinSauce; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-10-0412213720#deck_McWinSauce; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-10-1812218058#deck_McWinSauce; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2020-11-0812225853#deck_McWinSauce; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-1512228504#deck_McWinSauce; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-2212231143#deck_McWinSauce; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-2212231149#deck_McWinSauce"
"8","ZYURYO",16,128,0.703125,0.615994020089332,0.780598204362719,270,"Azorius Control; Bant Control; WURG Control; WUBG Control; Jund Midrange; Temur Control; UBRG Control","1; 2; 7; 2; 2; 1; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-01-1912071840#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-02-2312094308#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-0312148182#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-06-0712165588#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-06-1412168602#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-07-0412176992#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-07-0512176998#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-07-1212179968#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-2612211158#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-2712211164#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-10-0412213720#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-10-1112216053#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-0112223585#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-0812225888#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-2212231149#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-12-0612235633#deck_ZYURYO"
"9","Tiemuuu",16,131,0.687022900763359,0.600210786939882,0.765157138003876,270,"Izzet Control; Izzet Kiki Jiki","10; 6","https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2020-01-2612076811#deck_Tiemuuu; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-02-0212081604#deck_Tiemuuu; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-02-1612090356#deck_Tiemuuu; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-02-2312094308#deck_Tiemuuu; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-03-1412106061#deck_Tiemuuu; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-1012152345#deck_Tiemuuu; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-06-2012171462#deck_Tiemuuu; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-07-1212179968#deck_Tiemuuu; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-08-0212189343#deck_Tiemuuu; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-10-1112216053#deck_Tiemuuu; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-0812225888#deck_Tiemuuu; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-1512228504#deck_Tiemuuu; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-1512228510#deck_Tiemuuu; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-2912233116#deck_Tiemuuu; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2020-12-0612235616#deck_Tiemuuu; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-12-2012240502#deck_Tiemuuu"
"10","NorrathDecay",18,134,0.656716417910448,0.569804807795969,0.736531054150102,264,"Burn; Green Tron; Eldrazi Tron","11; 5; 2","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-01-0512061216#deck_NorrathDecay; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-04-1812138051#deck_NorrathDecay; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-0312148182#deck_NorrathDecay; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-2412159783#deck_NorrathDecay; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-05-3112162936#deck_NorrathDecay; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-06-1412168602#deck_NorrathDecay; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-06-2712174832#deck_NorrathDecay; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-08-0112189337#deck_NorrathDecay; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2020-08-0812192340#deck_NorrathDecay; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-08-1512195644#deck_NorrathDecay; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-08-2312198548#deck_NorrathDecay; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-09-2012208833#deck_NorrathDecay; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2020-10-0312213685#deck_NorrathDecay; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-10-0412213720#deck_NorrathDecay; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-10-1112216053#deck_NorrathDecay; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-0112223585#deck_NorrathDecay; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-11-2212231149#deck_NorrathDecay; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2020-12-1312238076#deck_NorrathDecay"
