"","CardNames","DeckCount","Winrate95Min"
"1","Flooded Strand",649,70
"2","Hallowed Fountain",431,69.7
"3","Misty Rainforest",783,69.5
"4","Force of Negation",446,69.4
"5","Island",859,69.4
"6","Steam Vents",854,69.4
"7","Forest",843,69.4
"8","Prismatic Ending",276,69.3
"9","Raugrin Triome",344,69.3
"10","Breeding Pool",581,69.3
"11","Violent Outburst",225,69.2
"12","Teferi, Time Raveler",430,69.2
"13","Plains",692,69.2
"14","Cavern of Souls",287,69.1
"15","Spirebluff Canal",404,69.1
"16","Stomping Ground",577,69.1
"17","Scalding Tarn",807,69
"18","Wooded Foothills",808,69
"19","Temple Garden",399,68.9
"20","Windswept Heath",457,68.9
"21","Gemstone Caverns",133,68.8
"22","Ketria Triome",306,68.8
"23","Verdant Catacombs",388,68.8
"24","Mishra's Bauble",620,68.8
"25","Lightning Bolt",976,68.8
"26","Mountain",811,68.8
"27","Khalni Garden",78,68.7
"28","Bonecrusher Giant",160,68.7
"29","Dragon's Rage Channeler",307,68.7
"30","Seachrome Coast",88,68.6
"31","Valakut, the Molten Pinnacle",153,68.6
"32","Shardless Agent",181,68.6
"33","Primeval Titan",111,68.5
"34","Serum Visions",235,68.5
"35","Brazen Borrower",261,68.5
"36","Urza's Saga",321,68.5
"37","Polluted Delta",443,68.5
"38","Boros Garrison",61,68.4
"39","Sunhome, Fortress of the Legion",61,68.4
"40","Slayers' Stronghold",60,68.4
"41","Dryad of the Ilysian Grove",139,68.4
"42","Omnath, Locus of Creation",204,68.4
"43","Jace, the Mind Sculptor",194,68.4
"44","Counterspell",253,68.4
"45","Snow-Covered Island",279,68.4
"46","Overgrown Tomb",301,68.4
"47","Ragavan, Nimble Pilferer",319,68.4
"48","Bloodstained Mire",582,68.4
"49","Ephemerate",95,68.3
"50","Glacial Fortress",112,68.3
