"","CardNames","CardCount","DeckCount","WinCount","MatchCount","WinrateAverage","Winrate95Min","Winrate95Max","Archetypes","URL","Artists","Colors","CMC","Types","FirstSet","CardCountOutTotalCards","DeckCountOutTotalDecks","AverageCopies"
"1","Abbot of Keral Keep",21,7,36,54,66.7,52.5,78.9,NA,NA,"Deruchenko Alexander","R",2,"Creature","ORI",0,0.3,3
"2","Abiding Grace",7,2,9,15,60,32.3,83.7,NA,NA,"Ravenna Tran","W",3,"Enchantment","MH2",0,0.1,3.5
"3","Abrade",23,21,112,163,68.7,61,75.7,NA,NA,"Jonas De Ro","R",2,"Instant","HOU",0,0.8,1.1
"4","Abrupt Decay",130,77,437,615,71.1,67.3,74.6,NA,NA,"Svetlin Velinov","B,G",2,"Instant","RTR",0.1,3,1.7
"5","Absorb",1,1,4,7,57.1,18.4,90.1,NA,NA,"Andrew Goldhawk","U,W",3,"Instant","INV",0,0,1
"6","Abundant Growth",170,45,250,353,70.8,65.8,75.5,NA,NA,"Vincent Proce","G",1,"Enchantment","AVR",0.1,1.8,3.8
"7","Abundant Harvest",61,20,114,163,69.9,62.3,76.9,NA,NA,"Iris Compiet","G",1,"Sorcery","MH2",0,0.8,3
"8","Academy Manufactor",6,2,10,15,66.7,38.4,88.2,NA,NA,"Campbell White","",3,"Artifact,Creature","MH2",0,0.1,3
"9","Accorder's Shield",8,5,24,37,64.9,47.5,79.8,NA,NA,"Alan Pollack","",0,"Artifact","SOM",0,0.2,1.6
"10","Acidic Slime",1,1,7,9,77.8,40,97.2,NA,NA,"Karl Kopinski","G",5,"Creature","M10",0,0,1
"11","Ad Nauseam",77,28,159,222,71.6,65.2,77.5,NA,NA,"Jeremy Jarvis","B",5,"Instant","ALA",0.1,1.1,2.8
"12","Adeline, Resplendent Cathar",7,3,16,23,69.6,47.1,86.8,NA,NA,"Bryan Sola","W",3,"Creature","MID",0,0.1,2.3
"13","Adventurous Impulse",16,7,46,60,76.7,64,86.6,NA,NA,"Titus Lunter","G",1,"Sorcery","DOM",0,0.3,2.3
"14","Aether Gust",15,14,72,107,67.3,57.5,76,NA,NA,"Tomasz Jedruszek","U",2,"Instant","M20",0,0.6,1.1
"15","Aether Spellbomb",41,38,210,304,69.1,63.6,74.2,NA,NA,"Jim Nelson","",1,"Artifact","MRD",0,1.5,1.1
"16","Aether Vial",540,136,738,1054,70,67.2,72.8,NA,NA,"Greg Hildebrandt","",1,"Artifact","DST",0.4,5.4,4
"17","Agadeem's Awakening",45,18,97,142,68.3,60,75.9,NA,NA,"Dmitry Burmak","B",3,"Sorcery","ZNR",0,0.7,2.5
"18","Ajani, Adversary of Tyrants",1,1,5,7,71.4,29,96.3,NA,NA,"Victor Adame Minguez","W",4,"Planeswalker","M19",0,0,1
"19","All Is Dust",162,94,496,719,69,65.5,72.4,NA,NA,"Jason Felix","",7,"Tribal,Sorcery","ROE",0.1,3.7,1.7
"20","All That Glitters",8,4,23,31,74.2,55.4,88.1,NA,NA,"Iain McCaig","W",2,"Enchantment","ELD",0,0.2,2
"21","Altar of Dementia",4,2,11,15,73.3,44.9,92.2,NA,NA,"Brom","",2,"Artifact","TMP",0,0.1,2
"22","Amulet of Vigor",312,78,449,628,71.5,67.8,75,NA,NA,"Warren Mahy","",1,"Artifact","WWK",0.2,3.1,4
"23","Anafenza, the Foremost",2,1,5,8,62.5,24.5,91.5,NA,NA,"James Ryman","B,G,W",3,"Creature","KTK",0,0,2
"24","Ancestral Vision",26,8,36,58,62.1,48.4,74.5,NA,NA,"Mark Poole","U",0,"Sorcery","TSP",0,0.3,3.2
"25","Ancient Stirrings",339,88,469,675,69.5,65.9,72.9,NA,NA,"Vincent Proce","G",1,"Sorcery","ROE",0.2,3.5,3.9
"26","Angel's Grace",112,28,159,222,71.6,65.2,77.5,NA,NA,"Mark Zug","W",1,"Instant","TSP",0.1,1.1,4
"27","Anger of the Gods",10,8,48,65,73.8,61.5,84,NA,NA,"Noah Bradley","R",3,"Sorcery","THS",0,0.3,1.2
"28","Anguished Unmaking",1,1,4,7,57.1,18.4,90.1,NA,NA,"Wesley Burt","B,W",3,"Instant","SOI",0,0,1
"29","Animation Module",13,11,65,89,73,62.6,81.9,NA,NA,"Aaron Miller","",1,"Artifact","KLD",0,0.4,1.2
"30","Arasta of the Endless Web",1,1,4,7,57.1,18.4,90.1,NA,NA,"Sam Rowan","G",4,"Enchantment,Creature","THB",0,0,1
"31","Arbor Elf",460,115,639,906,70.5,67.4,73.5,NA,NA,"rk post","G",1,"Creature","WWK",0.3,4.5,4
"32","Arboreal Grazer",242,78,442,624,70.8,67.1,74.4,NA,NA,"Jason Rainville","G",1,"Creature","WAR",0.2,3.1,3.1
"33","Arcane Flight",3,1,4,7,57.1,18.4,90.1,NA,NA,"Steve Prescott","U",1,"Enchantment","DOM",0,0,3
"34","Arcbound Javelineer",3,1,5,7,71.4,29,96.3,NA,NA,"Eric Deschamps","W",1,"Artifact,Creature","MH2",0,0,3
"35","Arcbound Mouser",3,1,5,7,71.4,29,96.3,NA,NA,"Campbell White","W",1,"Artifact,Creature","MH2",0,0,3
