"","PlayerS","NAppearances","ArchetypeNames","ArchetypeCounts","URL"
"1","Do0mSwitch",10,"WURG Control; 5 Color Turbo Tibalt; BTL Scapeshift; Asmo Urza; Izzet Murktide; WURG Blink","2; 1; 1; 1; 4; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-10#domswitch_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-01-19#domswitch_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-08#domswitch_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-17#domswitch_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-27#domswitch_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-11#domswitch_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-25#domswitch_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-10-31#domswitch_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#domswitch_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-28#domswitch_th_place"
"2","Laplasjan",9,"Hammer Time; Gruul Midrange","8; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-04#laplasjan_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-01-24#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#laplasjan_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-26#laplasjan_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-06#laplasjan_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-12#laplasjan_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-13#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#laplasjan_st_place"
"3","Sodeq",9,"Dredge; Living End; Blue Living End; Belcher","2; 2; 3; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-10#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-29#sodeq_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-10#sodeq_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-30#sodeq_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-19#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-09#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-22#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-10-18#sodeq_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-21#sodeq_nd_place"
"4","WaToO",9,"Esper Control; Azorius Control; Creativity Combo","2; 6; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-04-11#watoo_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-09#watoo_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-15#watoo_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-08-16#watoo_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-22#watoo_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-29#watoo_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-10-11#watoo_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-08#watoo_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-premier-2021-11-22#watoo_th_place"
"5","kanister",9,"Amulet Titan; Stoneblade; Elementals; WURG Blink; Azorius Control","2; 1; 3; 2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-20#kanister_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-21#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-27#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-26#kanister_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-15#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-19#kanister_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-10-10#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-10-18#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-10-24#kanister_rd_place"
"6","MaxMagicer",7,"Humans; Elves; Temur Footfalls","2; 1; 4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-21#maxmagicer_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-26#maxmagicer_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-18#maxmagicer_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-16#maxmagicer_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-08-16#maxmagicer_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-23#maxmagicer_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-29#maxmagicer_rd_place"
"7","O_danielakos",7,"Izzet Prowess; Izzet Murktide","4; 3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-25#o_danielakos_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-14#o_danielakos_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-28#o_danielakos_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-11#o_danielakos_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-30#o_danielakos_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-06#o_danielakos_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-12-06#o_danielakos_th_place"
"8","Darthkid",7,"Heliod Combo; Izzet Prowess; WURG Footfalls; Temur Footfalls; Hammer Time; Izzet Murktide","2; 1; 1; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-28#darthkid_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-25#darthkid_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-07-04#darthkid_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-19#darthkid_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-09#darthkid_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-10-10#darthkid_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-21#darthkid_rd_place"
"9","swff",7,"Izzet Murktide; WURG Blink","6; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-23#swff_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-30#swff_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-27#swff_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-10-25#swff_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-01#swff_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-08#swff_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#swff_th_place"
"10","remf",6,"Spirits; Gruul Midrange","5; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-21#remf_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-26#remf_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-07#remf_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#remf_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-29#remf_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-02#remf_rd_place"
