"","CardNames","DeckCount","Winrate95Min"
"1","Stomping Ground",445,79
"2","Omnath, Locus of Creation",196,78.6
"3","Breeding Pool",427,78.6
"4","Forest",614,78.6
"5","Wrenn and Six",286,78.5
"6","Misty Rainforest",572,78.5
"7","Wooded Foothills",570,78.5
"8","Cavern of Souls",178,78.3
"9","Sacred Foundry",332,78.3
"10","Flooded Strand",479,78.3
"11","Windswept Heath",340,78.2
"12","Steam Vents",620,78.2
"13","Mountain",588,78.2
"14","Ketria Triome",273,78.1
"15","Temple Garden",316,78
"16","Lightning Bolt",708,78
"17","Fury",135,77.9
"18","Urza's Saga",233,77.9
"19","Raugrin Triome",293,77.9
"20","Scalding Tarn",591,77.8
"21","Snow-Covered Plains",176,77.7
"22","Snow-Covered Forest",169,77.7
"23","Teferi, Time Raveler",345,77.7
"24","Hallowed Fountain",334,77.7
"25","Island",605,77.7
"26","Snow-Covered Island",181,77.5
"27","Fiery Islet",283,77.5
"28","Force of Negation",304,77.4
"29","Plains",488,77.4
"30","Prismatic Ending",220,77.3
"31","Bloodstained Mire",407,77.3
"32","Grove of the Burnwillows",7,77.2
"33","Shadowspear",184,77.2
"34","Monastery Swiftspear",258,77.2
"35","Arid Mesa",260,77.1
"36","Violent Outburst",127,77
"37","Silent Clearing",163,77
"38","Brazen Borrower",154,77
"39","Ghost Quarter",81,76.9
"40","Solitude",149,76.9
"41","Expedition Map",161,76.9
"42","Ephemerate",70,76.8
"43","Karn, the Great Creator",123,76.8
"44","Dryad of the Ilysian Grove",123,76.8
"45","Spirebluff Canal",250,76.8
"46","Radiant Fountain",90,76.7
"47","Swamp",324,76.7
"48","Uro, Titan of Nature's Wrath",79,76.6
"49","Boros Charm",98,76.6
"50","Sunbaked Canyon",177,76.6
