"","CardNames","DeckCount","WinrateAverage"
"1","Engineered Explosives",493,79.6
"2","Mystical Dispute",464,79.6
"3","Lurrus of the Dream-Den",410,79
"4","Veil of Summer",384,79.1
"5","Aether Gust",321,78.9
"6","Path to Exile",296,79.2
"7","Pithing Needle",294,80.1
"8","Force of Vigor",278,80.8
"9","Soul-Guide Lantern",260,80
"10","Relic of Progenitus",221,81.2
"11","Chalice of the Void",211,79.2
"12","Alpine Moon",203,79.5
"13","Rest in Peace",199,79.7
"14","Endurance",199,80.5
"15","Blood Moon",192,78.9
"16","Tormod's Crypt",189,80.8
"17","Nihil Spellbomb",181,78.3
"18","Kozilek's Return",175,78.5
"19","Flusterstorm",175,79.8
"20","Thoughtseize",172,79.2
"21","Force of Negation",171,79.7
"22","Abrade",166,80
"23","Celestial Purge",162,79.4
"24","Spell Pierce",155,78.7
"25","Torpor Orb",140,81
"26","Dismember",135,80.5
"27","Cleansing Wildfire",131,80.7
"28","Sanctifier en-Vec",129,79.4
"29","Kor Firewalker",123,81
"30","Liquimetal Coating",122,80.7
"31","Damping Sphere",121,77.9
"32","Void Mirror",118,78.6
"33","Dovin's Veto",117,79.5
"34","Prismatic Ending",115,79.9
"35","Ensnaring Bridge",111,80.3
"36","Grafdigger's Cage",110,79.1
"37","Ashiok, Dream Render",109,79.2
"38","Walking Ballista",100,79.9
"39","Kolaghan's Command",99,79.1
"40","Wear // Tear",97,79.5
"41","Fatal Push",89,79.6
"42","Foundation Breaker",88,80.8
"43","Timely Reinforcements",85,77.8
"44","Dispel",85,78.9
"45","Auriok Champion",83,79.6
"46","Smash to Smithereens",83,80.1
"47","Kaheera, the Orphanguard",83,80.4
"48","Anger of the Gods",82,78.9
"49","Nature's Claim",78,80.2
"50","Kozilek, Butcher of Truth",76,80.6
