"","CardNames","DeckCount","Winrate95Min"
"1","Khalni Garden",90,68.9
"2","Spirebluff Canal",516,68.4
"3","Vapor Snag",62,68.2
"4","Verdant Catacombs",456,68.2
"5","Steam Vents",1124,68.2
"6","Zulaport Cutthroat",27,68.1
"7","Misty Rainforest",1026,68.1
"8","Forest",1017,68.1
"9","Overgrown Tomb",373,68
"10","Flooded Strand",871,68
"11","Subtlety",69,67.9
"12","Prismatic Ending",412,67.9
"13","Raugrin Triome",461,67.9
"14","Island",1077,67.9
"15","Scalding Tarn",1045,67.9
"16","Dragon's Rage Channeler",454,67.8
"17","Counterspell",395,67.8
"18","Breeding Pool",734,67.8
"19","Mishra's Bauble",801,67.8
"20","Hapatra, Vizier of Poisons",33,67.7
"21","Street Wraith",148,67.7
"22","Chalice of the Void",187,67.7
"23","Shardless Agent",214,67.7
"24","Nurturing Peatland",237,67.7
"25","Serum Visions",314,67.7
"26","Urza's Saga",450,67.7
"27","Unholy Heat",434,67.7
"28","Windswept Heath",583,67.7
"29","Stomping Ground",748,67.7
"30","Wooded Foothills",994,67.7
"31","Violent Outburst",258,67.6
"32","Supreme Verdict",287,67.6
"33","Expressive Iteration",436,67.6
"34","Temple Garden",500,67.6
"35","Teferi, Time Raveler",567,67.6
"36","Hallowed Fountain",563,67.6
"37","Lightning Bolt",1250,67.6
"38","Chord of Calling",77,67.5
"39","Stormwing Entity",131,67.5
"40","Explore",149,67.5
"41","Ragavan, Nimble Pilferer",487,67.5
"42","Plains",853,67.5
"43","Mountain",984,67.5
"44","Living End",118,67.4
"45","Striped Riverwinder",118,67.4
"46","Urborg, Tomb of Yawgmoth",122,67.4
"47","Dryad of the Ilysian Grove",182,67.4
"48","Bloodstained Mire",706,67.4
"49","Curator of Mysteries",119,67.3
"50","Valakut, the Molten Pinnacle",198,67.3
