"","CardNames","DeckCount","WinrateAverage"
"1","Lightning Bolt",1250,68.5
"2","Steam Vents",1124,69.1
"3","Island",1077,68.9
"4","Scalding Tarn",1045,68.9
"5","Misty Rainforest",1026,69.1
"6","Forest",1017,69.1
"7","Wooded Foothills",994,68.8
"8","Mountain",984,68.5
"9","Flooded Strand",871,69.1
"10","Plains",853,68.6
"11","Mishra's Bauble",801,68.9
"12","Stomping Ground",748,68.9
"13","Breeding Pool",734,69
"14","Bloodstained Mire",706,68.7
"15","Swamp",619,68.4
"16","Polluted Delta",599,68.6
"17","Windswept Heath",583,69
"18","Force of Negation",570,68.7
"19","Sacred Foundry",569,68.3
"20","Teferi, Time Raveler",567,68.9
"21","Hallowed Fountain",563,68.9
"22","Spirebluff Canal",516,69.8
"23","Temple Garden",500,69
"24","Fiery Islet",499,68.4
"25","Thoughtseize",492,68.1
"26","Arid Mesa",488,67.7
"27","Blood Crypt",487,68.4
"28","Ragavan, Nimble Pilferer",487,68.9
"29","Raugrin Triome",461,69.4
"30","Verdant Catacombs",456,69.7
"31","Dragon's Rage Channeler",454,69.4
"32","Wrenn and Six",452,68.5
"33","Urza's Saga",450,69.2
"34","Expressive Iteration",436,69.2
"35","Unholy Heat",434,69.2
"36","Archmage's Charm",424,68.9
"37","Prismatic Ending",412,69.5
"38","Inquisition of Kozilek",405,68.4
"39","Shadowspear",405,68.6
"40","Ketria Triome",402,68.7
"41","Monastery Swiftspear",398,68.6
"42","Stoneforge Mystic",395,68.5
"43","Counterspell",395,69.4
"44","Fatal Push",382,68.1
"45","Snow-Covered Plains",374,67.7
"46","Overgrown Tomb",373,69.7
"47","Snow-Covered Island",349,68.1
"48","Cavern of Souls",347,68.9
"49","Brazen Borrower",344,69
"50","Silent Clearing",341,68.1
