"","PlayerS","NAppearances","ArchetypeNames","ArchetypeCounts","URL"
"1","Laplasjan",9,"Hammer Time; Gruul Midrange","8; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-0312242683#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-02-2112263393#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-02-2812266376#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-2512287820#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-0512335539#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-1112337922#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-1212337928#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-2112357958#deck_Laplasjan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-12-1912365707#deck_Laplasjan"
"2","Do0mSwitch",9,"WURG Control; 5 Color Turbo Tibalt; Omnath Scapeshift; Asmo Urza; Izzet Murktide; Omnath Control","1; 1; 1; 1; 4; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-1012247559#deck_Do0mSwitch; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-02-0712258815#deck_Do0mSwitch; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-05-1612293277#deck_Do0mSwitch; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-2612309177#deck_Do0mSwitch; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-07-1012316091#deck_Do0mSwitch; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-07-2412321629#deck_Do0mSwitch; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-3012351480#deck_Do0mSwitch; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-2112357958#deck_Do0mSwitch; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-2812359639#deck_Do0mSwitch"
"3","Sodeq",9,"Dredge; Living End; Blue Living End; Belcher","2; 2; 3; 2","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-1012247559#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-03-2812277646#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-05-0912291657#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-05-2912297481#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-07-1812318584#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-0812326167#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-2112331035#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-1712347373#deck_Sodeq; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-2112357952#deck_Sodeq"
"4","kanister",9,"Amulet Titan; Stoneblade; Elementals; Omnath Control; Azorius Control","2; 1; 3; 2; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-1912305272#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-2012305278#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-2612309177#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-07-2512321635#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-1412328700#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-1812340205#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-0912345852#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-1712347373#deck_kanister; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-2312349443#deck_kanister"
"5","O_danielakos",8,"Izzet Prowess; Izzet Murktide","4; 4","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-2412252774#deck_O_danielakos; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-02-1412261175#deck_O_danielakos; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-2712309183#deck_O_danielakos; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-07-1012316091#deck_O_danielakos; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-2912333356#deck_O_danielakos; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-0512335539#deck_O_danielakos; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-12-0512361897#deck_O_danielakos; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-12-1912365707#deck_O_danielakos"
"6","SoulStrong",7,"Esper Control; Omnath Scapeshift; Grixis Shadow","1; 1; 5","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-03-1412271866#deck_SoulStrong; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-05-0112289705#deck_SoulStrong; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-2812359639#deck_SoulStrong; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-2812359645#deck_SoulStrong; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-12-0512361891#deck_SoulStrong; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-12-0512361897#deck_SoulStrong; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-12-1212363655#deck_SoulStrong"
"7","CrusherBotBG",7,"Hammer Time","7","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-03-2712277640#deck_CrusherBotBG; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-07-0412312091#deck_CrusherBotBG; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-0312344230#deck_CrusherBotBG; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-2312349443#deck_CrusherBotBG; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-3112351484#deck_CrusherBotBG; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-1412355715#deck_CrusherBotBG; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-12-1212363655#deck_CrusherBotBG"
"8","Darthkid",7,"Heliod Combo; Izzet Prowess; WURG Footfalls; Temur Footfalls; Hammer Time; Izzet Murktide","2; 1; 1; 1; 1; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-03-2712277640#deck_Darthkid; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-2412287814#deck_Darthkid; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2021-07-0312312057#deck_Darthkid; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-07-1812318584#deck_Darthkid; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-0812326167#deck_Darthkid; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-0912345852#deck_Darthkid; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-2112357952#deck_Darthkid"
"9","WaToO",7,"Esper Control; Azorius Control; Creativity Combo","2; 4; 1","https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2021-04-1012282937#deck_WaToO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-05-0812291651#deck_WaToO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-1412328700#deck_WaToO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-2112331035#deck_WaToO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-2812333333#deck_WaToO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-1012345858#deck_WaToO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-0712353489#deck_WaToO"
"10","swff",7,"Izzet Murktide; Omnath Control","6; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-2212331041#deck_swff; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-2912333356#deck_swff; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-2612342309#deck_swff; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-2412349449#deck_swff; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-3112351484#deck_swff; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-0712353489#deck_swff; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-2112357958#deck_swff"
