"","Artist","NoCopies","Winrate"
"1","Rob Alexander",10921,0.796
"2","Christopher Rush",5285,0.798
"3","Mark Poole",2962,0.793
"4","Eric Deschamps",2482,0.794
"5","Chippy",2228,0.785
"6","Adam Paquette",1994,0.789
"7","Anastasia Ovchinnikova",1989,0.794
"8","Shelly Wan",1844,0.801
"9","Aleksi Briclot",1782,0.786
"10","Philip Straub",1765,0.792
"11","Ron Spears",1747,0.791
"12","Tomasz Jedruszek",1728,0.782
"13","Steve Argyle",1719,0.792
"14","Chris Rallis",1684,0.794
"15","John Avon",1632,0.796
"16","Franz Vohwinkel",1616,0.789
"17","John Stanko",1613,0.793
"18","Raymond Swanland",1590,0.797
"19","Todd Lockwood",1504,0.789
"20","Jonas De Ro",1477,0.798
"21","Douglas Shuler",1475,0.793
"22","Jason Chan",1474,0.795
"23","Svetlin Velinov",1466,0.801
"24","Terese Nielsen",1427,0.799
"25","Chase Stone",1411,0.803
"26","Vincent Proce",1306,0.793
"27","Anthony S. Waters",1290,0.798
"28","Vance Kovacs",1289,0.787
"29","Seb McKinnon",1284,0.793
"30","Jung Park",1274,0.795
"31","Paul Scott Canavan",1264,0.798
"32","Ryan Pancoast",1196,0.799
"33","Dave Kendall",1190,0.795
"34","Mark Zug",1156,0.792
"35","Mark Tedin",1150,0.801
"36","Howard Lyon",1143,0.793
"37","Titus Lunter",1138,0.792
"38","Alayna Danner",1138,0.788
"39","Kev Walker",1114,0.801
"40","Chris Rahn",1109,0.808
"41","Simon Dominic",1106,0.789
"42","Jesper Myrfors",1099,0.789
"43","Cyril Van Der Haegen",1094,0.795
"44","Ekaterina Burmak",1085,0.795
"45","Sam Burley",1078,0.795
"46","Randy Vargas",1059,0.801
"47","Lake Hurwitz",1058,0.788
"48","Daarken",1041,0.789
"49","Izzy",1039,0.791
"50","Yeong-Hao Han",1025,0.796
"51","Cliff Childs",1011,0.796
"52","Martina Fackova",980,0.784
"53","Tom Wänerstrand",977,0.789
"54","Pete Venters",936,0.797
"55","Jason Rainville",922,0.796
"56","James Paick",891,0.796
"57","Kari Christensen",871,0.782
"58","Raoul Vitale",855,0.801
"59","Dmitry Burmak",853,0.795
"60","Warren Mahy",828,0.8
"61","Mike Bierek",819,0.793
