"","CardNames","DeckCount","WinrateAverage"
"1","Lightning Bolt",139,72.1
"2","Steam Vents",130,73.1
"3","Flooded Strand",123,73.9
"4","Misty Rainforest",118,73
"5","Forest",117,73.6
"6","Breeding Pool",116,73.7
"7","Plains",115,73.4
"8","Scalding Tarn",111,72.1
"9","Force of Negation",109,72.8
"10","Hallowed Fountain",109,73.8
"11","Island",107,72.9
"12","Mountain",106,71.1
"13","Teferi, Time Raveler",97,73.8
"14","Snow-Covered Island",96,73.2
"15","Temple Garden",89,73.7
"16","Wooded Foothills",87,71.5
"17","Mystic Sanctuary",85,73.8
"18","Ketria Triome",83,74.1
"19","Raugrin Triome",83,74.9
"20","Snow-Covered Plains",78,73
"21","Uro, Titan of Nature's Wrath",76,74.3
"22","Polluted Delta",76,72.5
"23","Monastery Swiftspear",74,72.6
"24","Snow-Covered Forest",71,73.4
"25","Bloodstained Mire",71,71.4
"26","Cryptic Command",69,74.1
"27","Watery Grave",69,71.8
"28","Stomping Ground",68,73
"29","Path to Exile",67,74.4
"30","Simian Spirit Guide",66,72.8
"31","Windswept Heath",64,72.3
"32","Field of the Dead",62,74.1
"33","Mishra's Bauble",62,72
"34","Arid Mesa",61,72.5
"35","Fiery Islet",61,71.2
"36","Fatal Push",58,71.9
"37","Field of Ruin",56,72.8
"38","Swamp",55,71.3
"39","Skyclave Apparition",55,70.6
"40","Sunbaked Canyon",54,72.4
"41","Gemstone Caverns",53,72.6
"42","Violent Outburst",53,72.3
"43","Omnath, Locus of Creation",52,75.1
"44","Wrenn and Six",51,73.9
"45","Blood Crypt",50,71.7
"46","Horizon Canopy",50,71
"47","Valki, God of Lies",49,72.8
"48","Thoughtseize",48,72.2
"49","Ardent Plea",48,72.3
"50","Sacred Foundry",46,71.4
