"","CardNames","Artists","Colors","CMC","Types","FirstSet","NbDecks","PercDecks","CardWins","CardMatches","Presence","AvgMdCount","AvgSbCount","PercCopies","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","Archetypes","URL"
"1","Abrade","Jonas De Ro","R",2,"Instant","HOU",10,10.4166666666667,52,77,9.9,0,1.7,4.42708333333333,67.5,55.9,77.8,"Rakdos Midrange; Grixis Midrange; Izzet Prowess","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#ozymandias_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#daibloxsc_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#talisker_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#runnrunnr_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#ggoggles_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#talisker_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#ozymandias_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#kthanakit_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#_marian__rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#o_danielakos_st_place"
"2","Abrupt Decay","Svetlin Velinov","B,G",2,"Instant","RTR",1,1.04166666666667,4,7,0.9,0,1,0.260416666666667,57.1,18.4,90.1,"Jund Shadow","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#exoticherman_st_place"
"3","Academy Ruins","Zoltan Boros & Gabor Szikszai","",0,"Land","TSP",2,2.08333333333333,9,15,1.9,1,0,0.520833333333333,60,32.3,83.7,"Blue Tron; Thopter Urza","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#gernardi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#wolfie_th_place"
"4","Accorder's Shield","Alan Pollack","",0,"Artifact","SOM",2,2.08333333333333,14,18,2.3,1,0,0.520833333333333,77.8,52.4,93.6,"Hammer Time","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#pedrogush_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#pedrogush_th_place"
"5","Ad Nauseam","Jeremy Jarvis","B",5,"Instant","ALA",3,3.125,13,21,2.7,4,0,3.125,61.9,38.4,81.9,"Ad Nauseam","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#spartanxx_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#fayrawks_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#patheus__nd_place"
"6","Aether Gust","Tomasz Jedruszek","U",2,"Instant","M20",30,31.25,175,246,31.6,0.03,2.6,20.546875,71.1,65,76.7,"Bant Control; UBRG Shadow; Stoneblade; Miracles; Grixis Midrange; Giants; Izzet Prowess; WURG Control; Mill; Blue Tron; Dimir Control; Thopter Urza","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#returntodust_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#mazzu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#kamitech_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#eclipse_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#daibloxsc_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#trunks_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#talisker_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#parrotlet_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#runnrunnr_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#ptartswin_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#shadowz_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#taruto_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#omegauo_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#ggoggles_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#stonepeanut_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#_tia__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#talisker_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#sanchez_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#katoriarch_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#rngspecialist_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#__bmj___th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#gernardi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#katoriarch_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#lavaridge_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#yuyan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#_marian__rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#wolfie_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#gerardo_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#o_danielakos_st_place"
"7","Aether Hub","Sam Burley","",0,"Land","KLD",3,3.125,13,21,2.7,4,0,3.125,61.9,38.4,81.9,"Trickery Combo","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#houseofmanamtg_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#ryan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#acg_th_place"
"8","Aether Spellbomb","Jim Nelson","",1,"Artifact","MRD",2,2.08333333333333,8,14,1.8,1,0,0.520833333333333,57.1,28.9,82.3,"Grinding Breach; Thopter Urza","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#_logic__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#wolfie_th_place"
"9","Aether Vial","Greg Hildebrandt","",1,"Artifact","DST",21,21.875,126,173,22.2,3.86,0,21.109375,72.8,65.6,79.3,"Badzan; Spirits; Heliod Combo; Humans; Mono White Taxes; Selesnya Taxes; Boros Taxes","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#antoine_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#chrislampa_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#scorpion_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#remf_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#maxmagicer_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#azax_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#wizard__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#max_hersch_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#smdster_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#nammersquats_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#respectthecat_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#genmatsu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#_goblinlackey_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#josecabezas_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#albertosd_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#mlgb_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#mlgb_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#misstrigger_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#darthkid_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#paucr_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#lightless_th_place"
"10","Agadeem's Awakening","Dmitry Burmak","B",3,"Sorcery","ZNR",1,1.04166666666667,8,10,1.3,4,0,1.04166666666667,80,44.4,97.5,"Oops All Spells","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#nakishima_th_place"
