"","CardNames","NbDecks","WINRATE_AVERAGE"
"1","Endless One",1,100
"2","Forsaken Monument",1,100
"3","Hall of the Bandit Lord",1,100
"4","Karn, Scion of Urza",1,100
"5","Mind Stone",1,100
"6","Stonecoil Serpent",1,100
"7","Thorn of Amethyst",1,100
"8","Goblin Engineer",1,100
"9","Wishclaw Talisman",1,100
"10","Genesis Ultimatum",1,100
"11","Flooded Grove",2,92.9
"12","Damnation",2,88.9
"13","Castle Garenbrig",3,85.7
"14","Archive Trap",2,82.4
"15","Bontu's Last Reckoning",2,82.4
"16","Crypt Incursion",2,82.4
"17","Extirpate",2,82.4
"18","Glimpse the Unthinkable",2,82.4
"19","Hedron Crab",2,82.4
"20","Maddening Cacophony",2,82.4
"21","Mesmeric Orb",2,82.4
"22","Ruin Crab",2,82.4
"23","Visions of Beyond",2,82.4
"24","Murderous Rider",2,81.8
"25","Drown in the Loch",3,81
"26","Maelstrom Pulse",6,80.6
"27","Ephemerate",1,80
"28","Kaya, Orzhov Usurper",1,80
"29","Knight of the White Orchid",1,80
"30","Wall of Omens",1,80
"31","Wasteland Strangler",1,80
"32","Memory's Journey",1,80
"33","Life from the Loam",3,79.2
"34","Eternal Witness",2,78.9
"35","Terminate",6,78.6
"36","Dryad of the Ilysian Grove",4,78.6
"37","Hagra Mauling",2,78.6
"38","Isolate",3,77.8
"39","Natural State",3,77.8
"40","Shatterskull Smashing",3,77.8
"41","Knight of Autumn",2,77.8
"42","Stirring Wildwood",1,77.8
"43","Elixir of Immortality",1,77.8
"44","Profane Memento",1,77.8
"45","Worship",1,77.8
"46","Castle Embereth",1,77.8
"47","Unified Will",1,77.8
"48","Unravel the Aether",1,77.8
"49","Akoum Hellhound",1,77.8
"50","Atarka's Command",1,77.8
