"","PLAYERS","NO_APPEARANCES","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","TOTAL_POINTS","ARCHETYPE_NAMES","ARCHETYPE_COUNT","URL"
"1","MZBlazer",4,28,0.785714285714286,0.590468973494172,0.917039387612361,66,"Shadow Prowess; 5 Color Turbo Tibalt; Mill","1; 2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#mzblazer_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-02-15#mzblazer_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-09#mzblazer_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-11#mzblazer_-"
"2","katoriarch123",4,30,0.7,0.506040958537446,0.852654815245299,63,"WURG Control; 5 Color Turbo Tibalt","3; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#katoriarch_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#katoriarch_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-07#katoriarch_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-14#katoriarch_nd_place"
"3","pedrogush",3,26,0.769230769230769,0.563524903058613,0.910259889115425,60,"Hammer Time","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#pedrogush_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#pedrogush_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-08#pedrogush_th_place"
"4","McWinSauce",5,27,0.740740740740741,0.537151257723829,0.888855437154558,60,"5 Color Turbo Tibalt","5","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-08#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-02-15#mcwinsauce_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-09#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-11#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-12#mcwinsauce_-"
"5","hcook725",4,25,0.76,0.548711982183314,0.906435560668257,57,"Mardu Shadow; Omnath Saheeli","3; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#hcook_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-14#hcook_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-02#hcook_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-04#hcook_-"
"6","remf",3,24,0.708333333333333,0.489052186142167,0.873847911476309,51,"Spirits; Humans","2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#remf_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-07#remf_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-02-15#remf_nd_place"
"7","O_danielakos",3,23,0.739130434782609,0.515948029597562,0.897713866084642,51,"Izzet Prowess","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#o_danielakos_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-07#o_danielakos_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-14#o_danielakos_rd_place"
"8","JUJUBEAN__2004",4,22,0.772727272727273,0.546296376337878,0.921793739648108,51,"Heliod Combo; 5 Color Turbo Tibalt","1; 3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-07#jujubean___th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-14#jujubean___th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-11#jujubean___-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-12#jujubean___-"
"9","ReturnToDust",3,18,0.888888888888889,0.652879561391328,0.986248784335636,48,"Bant Control; Shadow Prowess; Izzet Prowess","1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#returntodust_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-04#returntodust_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-12#returntodust_-"
"10","Talisker",3,23,0.695652173913043,0.470808333991493,0.8678971203019,48,"Izzet Prowess","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#talisker_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#talisker_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-08#talisker_th_place"
