"","CardNames","CardCount","DeckCount","WinCount","MatchCount","WinrateAverage","Winrate95Min","Winrate95Max","Archetypes","URL","Artists","Colors","CMC","Types","FirstSet","CardCountOutTotalCards","DeckCountOutTotalDecks","AverageCopies"
"1","Abbot of Keral Keep",6,2,12,16,75,47.6,92.7," 1 Boros Prowess 
 1 Rakdos Prowess 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#scipios_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-03-07#wolfie_th_place 
","Deruchenko Alexander","R",2,"Creature","ORI",0,0.3,3
"2","Abrade",1,1,5,9,55.6,21.2,86.3," 1 Stoneblade 
"," NA 
","Jonas De Ro","R",2,"Instant","HOU",0,0.2,1
"3","Abrupt Decay",14,10,42,79,53.2,41.6,64.5," 6 Jund Midrange 
 1 Jund Shadow 
 3 Niv To Light 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#asnook_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-03-07#canadianninja_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-03-07#jessy_samek_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-04#asnook_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-05#reiderrabbit_- 
 NA 
 NA 
 NA 
 NA 
 https://www.mtggoldfish.com/deck/3783582 
","Svetlin Velinov","B,G",2,"Instant","RTR",0,1.6,1.4
"4","Abundant Growth",32,9,32,68,47.1,34.8,59.6," 2 Ascendancy Combo 
 2 Enigmatic Incarnation 
 4 Niv To Light 
 1 Stoneblade 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-03-07#canadianninja_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-08#martinezdp_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-23#pablo_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-05#_batutinha__- 
 NA 
 NA 
 NA 
 https://www.mtggoldfish.com/deck/3783582 
 https://www.mtggoldfish.com/deck/3783591 
","Vincent Proce","G",1,"Enchantment","AVR",0.1,1.4,3.6
"5","Academy Ruins",1,1,2,7,28.6,3.7,71," 1 Blue Tron 
"," https://www.mtggoldfish.com/deck/3783567 
","Zoltan Boros & Gabor Szikszai","",0,"Land","TSP",0,0.2,1
"6","Accorder's Shield",9,6,22,47,46.8,32.1,61.9," 6 Hammer Time 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#pedrogush_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#pedrogush_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#draccon_st_place 
 NA 
 NA 
 https://www.mtggoldfish.com/deck/3783595 
","Alan Pollack","",0,"Artifact","SOM",0,0.9,1.5
"7","Acidic Slime",2,2,7,16,43.8,19.8,70.1," 2 WURG Blink 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-03-07#godwithashotgun_th_place 
 https://www.mtggoldfish.com/deck/3783593 
","Karl Kopinski","G",5,"Creature","M10",0,0.3,1
"8","Ad Nauseam",4,1,0,7,0,0,41," 1 Ad Nauseam 
"," https://www.mtggoldfish.com/deck/3783594 
","Jeremy Jarvis","B",5,"Instant","ALA",0,0.2,4
"9","Adventurous Impulse",30,11,58,90,64.4,53.7,74.3," 11 Amulet Titan 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#rosencrantz__st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#an_actual_potato_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-03-07#pargen_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-03-07#smdster_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-08#npercario_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-02#kanister_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-06#ouranos_- 
 NA 
 NA 
 NA 
 NA 
","Titus Lunter","G",1,"Sorcery","DOM",0.1,1.7,2.7
"10","Aether Gust",3,3,14,25,56,34.9,75.6," 3 WURG Control 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-08#albert_th_place 
 NA 
 NA 
","Tomasz Jedruszek","U",2,"Instant","M20",0,0.5,1
"11","Aether Spellbomb",6,4,8,24,33.3,15.6,55.3," 1 Blue Tron 
 1 Grinding Breach 
 2 Thopter Urza 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-03#trisky_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-06#canadianninja_- 
 NA 
 https://www.mtggoldfish.com/deck/3783567 
","Jim Nelson","",1,"Artifact","MRD",0,0.6,1.5
