"","CardNames","DeckCount","WinrateAverage"
"1","Veil of Summer",181,53.5
"2","Path to Exile",142,49.2
"3","Aether Gust",128,52.1
"4","Rest in Peace",123,51.5
"5","Mystical Dispute",115,53.8
"6","Damping Sphere",105,49.9
"7","Grafdigger's Cage",102,53.1
"8","Kozilek's Return",97,53.5
"9","Auriok Champion",95,52
"10","Lurrus of the Dream-Den",91,56.2
"11","Pithing Needle",91,49.7
"12","Engineered Explosives",81,53.7
"13","Soul-Guide Lantern",80,50.7
"14","Tormod's Crypt",79,49.7
"15","Ashiok, Dream Render",78,53.3
"16","Ensnaring Bridge",74,54.3
"17","Dismember",74,55.3
"18","Celestial Purge",73,51.4
"19","Liquimetal Coating",72,53.1
"20","Kor Firewalker",70,50.4
"21","Abrade",69,51.1
"22","Walking Ballista",69,51.9
"23","Relic of Progenitus",68,52.5
"24","Timely Reinforcements",62,50.2
"25","Nature's Claim",60,53.5
"26","Nihil Spellbomb",58,60.6
"27","Skyclave Apparition",56,49.4
"28","Cleansing Wildfire",56,47.2
"29","Surgical Extraction",53,43.9
"30","Spell Pierce",49,45.9
"31","Collective Brutality",49,54.8
"32","Kolaghan's Command",48,56.2
"33","Force of Vigor",48,55.4
"34","Trinisphere",47,60.1
"35","Wheel of Sun and Moon",46,53
"36","Fatal Push",46,54.5
"37","Plague Engineer",46,42.7
"38","Sorcerous Spyglass",46,50.2
"39","Sundering Titan",46,54
"40","Wurmcoil Engine",46,49.1
"41","Deicide",44,49.3
"42","Thoughtseize",43,53.2
"43","Anger of the Gods",42,51.6
"44","Skysovereign, Consul Flagship",42,48.5
"45","Burrenton Forge-Tender",41,45.9
"46","Reclamation Sage",38,53.9
"47","Dovin's Veto",38,49
"48","Giant Killer",37,52.5
"49","Vapor Snag",37,47.8
"50","Blast Zone",36,48.7
