"","SetName","Winrate","Presence"
"1","BNG",NA,0
"2","RNA",NA,0
"3","SOI",NA,0
"4","WAR",NA,0
"5","MOR",NA,0
"6","PLC",NA,0
"7","M19",NA,0
"8","MBS",NA,0
"9","DGM",NA,0
"10","MRD",NA,0
"11","M15",NA,0
"12","ROE",NA,0
"13","SOM",NA,0
"14","MH1",NA,0
"15","C14",NA,0
"16","NPH",NA,0
"17","FRF",NA,0
"18","DST",NA,0
"19","ZNR",NA,0
"20","IKO",NA,0
"21","M10",NA,0
"22","CMD",NA,0
"23","ISD",NA,0
"24","EMN",NA,0
"25","TMP",NA,0
"26","M11",NA,0
"27","DTK",NA,0
"28","M20",NA,0
"29","PLS",NA,0
"30","THB",NA,0
"31","ELD",NA,0
"32","HOU",NA,0
"33","FUT",NA,0
"34","STH",NA,0
"35","5DN",NA,0
"36","OGW",NA,0
"37","DKA",NA,0
"38","AER",NA,0
"39","WWK",NA,0
"40","RAV",NA,0
"41","ICE",NA,0
"42","RTR",NA,0
"43","ALA",NA,0
"44","DIS",NA,0
"45","LEA",NA,0
"46","SHM",NA,0
"47","LRW",NA,0
"48","XLN",NA,0
"49","THS",NA,0
"50","GTC",NA,0
"51","CON",NA,0
"52","DOM",NA,0
"53","ARB",NA,0
"54","TSP",NA,0
"55","SOK",NA,0
"56","DRK",NA,0
"57","M12",NA,0
"58","WTH",NA,0
"59","JOU",NA,0
"60","KTK",NA,0
"61","KLD",NA,0
"62","M21",NA,0
"63","BFZ",NA,0
"64","M13",NA,0
"65","GPT",NA,0
"66","GRN",NA,0
"67","AVR",NA,0
"68","ZEN",NA,0
"69","KHM",NA,0
"70","AKH",NA,0
"71","USG",NA,0
"72","ORI",NA,0
"73","BOK",NA,0
"74","LEG",NA,0
"75","RIX",NA,0
"76","EVE",NA,0
"77","ALL",NA,0
"78","INV",NA,0
"79","ULG",NA,0
"80","CHK",NA,0
"81","NEM",NA,0
"82","M14",NA,0
"83","CSP",NA,0
