"","CardNames","DeckCount","WinrateAverage"
"1","Kaya, Orzhov Usurper",1,100
"2","Angrath's Rampage",1,100
"3","Niv-Mizzet Reborn",1,91.7
"4","Unmoored Ego",1,91.7
"5","Indatha Triome",1,91.7
"6","Pillar of the Paruns",1,91.7
"7","Dovin's Veto",1,88.9
"8","Skyclave Cleric",1,88.9
"9","Shambling Vent",2,88.2
"10","Collective Brutality",2,87.5
"11","Magmatic Channeler",2,87.5
"12","Abundant Growth",2,84.2
"13","Winds of Abandon",4,83.3
"14","Anger of the Gods",2,82.4
"15","Maelstrom Pulse",2,82.4
"16","Abrupt Decay",3,82.1
"17","Linvala, Keeper of Silence",3,81.5
"18","Behold the Multiverse",2,81.2
"19","Nahiri, the Harbinger",3,80.8
"20","Gavony Township",4,80.5
"21","Assassin's Trophy",6,80.4
"22","Archangel of Thune",6,80
"23","Charming Prince",4,80
"24","Shalai, Voice of Plenty",1,80
"25","Stirring Wildwood",1,80
"26","Birds of Paradise",11,79.4
"27","Vapor Snag",2,78.9
"28","Eternal Witness",2,78.9
"29","Savai Triome",4,78.1
"30","Auriok Champion",21,77.8
"31","Conclave Mentor",20,77.8
"32","Heliod, Sun-Crowned",20,77.8
"33","Spike Feeder",20,77.8
"34","Essence Warden",2,77.8
"35","Zulaport Cutthroat",2,77.8
"36","Deputy of Detention",2,77.8
"37","Polymorph",1,77.8
"38","Transmogrify",1,77.8
"39","Fire Prophecy",1,77.8
"40","Izzet Charm",1,77.8
"41","Cloudform",1,77.8
"42","Dwarven Mine",1,77.8
"43","Mirran Crusader",1,77.8
"44","Eldrazi Displacer",1,77.8
"45","Shefet Dunes",1,77.8
"46","Cling to Dust",1,77.8
"47","Acidic Slime",1,77.8
"48","Avalanche Riders",1,77.8
"49","Knight of Autumn",1,77.8
"50","Reveillark",1,77.8
