"","SetName","Winrate","Presence"
"1","ALA",NA,0
"2","JOU",NA,0
"3","M20",NA,0
"4","HOU",NA,0
"5","SOM",NA,0
"6","DRK",NA,0
"7","CON",NA,0
"8","DOM",NA,0
"9","OGW",NA,0
"10","TMP",NA,0
"11","ROE",NA,0
"12","STH",NA,0
"13","THB",NA,0
"14","NPH",NA,0
"15","LRW",NA,0
"16","5DN",NA,0
"17","ELD",NA,0
"18","DGM",NA,0
"19","AER",NA,0
"20","ZNR",NA,0
"21","M15",NA,0
"22","IKO",NA,0
"23","SOI",NA,0
"24","DST",NA,0
"25","DKA",NA,0
"26","M21",NA,0
"27","BFZ",NA,0
"28","WAR",NA,0
"29","FUT",NA,0
"30","XLN",NA,0
"31","AVR",NA,0
"32","EMN",NA,0
"33","RTR",NA,0
"34","ZEN",NA,0
"35","MH1",NA,0
"36","M11",NA,0
"37","GTC",NA,0
"38","GRN",NA,0
"39","WWK",NA,0
"40","GPT",NA,0
"41","WTH",NA,0
"42","SOK",NA,0
"43","KLD",NA,0
"44","M13",NA,0
"45","BNG",NA,0
"46","TSP",NA,0
"47","FRF",NA,0
"48","M12",NA,0
"49","PLC",NA,0
"50","CMD",NA,0
"51","DIS",NA,0
"52","M19",NA,0
"53","THS",NA,0
"54","MOR",NA,0
"55","MRD",NA,0
"56","KTK",NA,0
"57","DTK",NA,0
"58","PLS",NA,0
"59","SHM",NA,0
"60","ARB",NA,0
"61","POR",NA,0
"62","MBS",NA,0
"63","LEA",NA,0
"64","ISD",NA,0
"65","RNA",NA,0
"66","ULG",NA,0
"67","ALL",NA,0
"68","AKH",NA,0
"69","TOR",NA,0
"70","KHM",NA,0
"71","M10",NA,0
"72","BOK",NA,0
"73","EVE",NA,0
"74","M14",NA,0
"75","ORI",NA,0
"76","USG",NA,0
