"","ArtistName","Winrate","Presence"
"1","Lake Hurwitz",NA,0
"2","Adam Paquette",NA,0
"3","Tomasz Jedruszek",NA,0
"4","Slawomir Maniak",NA,0
"5","Todd Lockwood",NA,0
"6","Noah Bradley",NA,0
"7","Cliff Childs",NA,0
"8","Aleksi Briclot",NA,0
"9","Igor Kieryluk",NA,0
"10","Chris Seaman",NA,0
"11","Terese Nielsen",NA,0
"12","Jason Chan",NA,0
"13","Pete Venters",NA,0
"14","Matt Stewart",NA,0
"15","Michael Sutfin",NA,0
"16","Paul Scott Canavan",NA,0
"17","Seb McKinnon",NA,0
"18","Rebecca Guay",NA,0
"19","Ron Spears",NA,0
"20","Lius Lasahido",NA,0
"21","Jason Rainville",NA,0
"22","Ekaterina Burmak",NA,0
"23","Adam Rex",NA,0
"24","Randy Vargas",NA,0
"25","Eric Deschamps",NA,0
"26","Svetlin Velinov",NA,0
"27","Nicholas Gregory",NA,0
"28","Jean-Sébastien Rossbach",NA,0
"29","Jim Nelson",NA,0
"30","Chris Ostrowski",NA,0
"31","Randy Gallegos",NA,0
"32","Ryan Pancoast",NA,0
"33","Dan Scott",NA,0
"34","Matt Cavotta",NA,0
"35","Kev Walker",NA,0
"36","David Palumbo",NA,0
"37","Anna Podedworna",NA,0
"38","Mathias Kollros",NA,0
"39","Joseph Meehan",NA,0
"40","Chris Rahn",NA,0
"41","Volkan Baǵa",NA,0
"42","Chuck Lukacs",NA,0
"43","Izzy",NA,0
"44","Daarken",NA,0
"45","Daniel Ljunggren",NA,0
"46","Dave Kendall",NA,0
"47","Christopher Rush",NA,0
"48","Christopher Moeller",NA,0
"49","Austin Hsu",NA,0
"50","Steven Belledin",NA,0
"51","Vance Kovacs",NA,0
"52","Johann Bodin",NA,0
"53","Raymond Swanland",NA,0
"54","Michael Komarck",NA,0
"55","Jung Park",NA,0
"56","Kieran Yanner",NA,0
"57","Franz Vohwinkel",NA,0
"58","Cynthia Sheppard",NA,0
"59","Jesper Ejsing",NA,0
"60","Chris Cold",NA,0
"61","Alayna Danner",NA,0
"62","Jim Murray",NA,0
"63","Jonas De Ro",NA,0
"64","Don Hazeltine",NA,0
"65","Dimitar Marinski",NA,0
"66","Mark Tedin",NA,0
"67","Alan Pollack",NA,0
"68","James Paick",NA,0
"69","Tyler Walpole",NA,0
"70","Greg Staples",NA,0
"71","Grzegorz Rutkowski",NA,0
"72","Yeong-Hao Han",NA,0
"73","Sam Burley",NA,0
"74","Jason Alexander Behnke",NA,0
"75","Tom Wänerstrand",NA,0
"76","Caio Monteiro",NA,0
"77","Andrey Kuzinskiy",NA,0
"78","Vincent Proce",NA,0
"79","Jaime Jones",NA,0
"80","Jason Kang",NA,0
"81","Campbell White",NA,0
"82","Victor Adame Minguez",NA,0
"83","Heather Hudson",NA,0
"84","Filip Burburan",NA,0
"85","Amy Weber",NA,0
"86","Lucas Graciano",NA,0
"87","Donato Giancola",NA,0
"88","Mila Pesic",NA,0
"89","Ron Spencer",NA,0
"90","Pat Lee",NA,0
"91","Wayne Reynolds",NA,0
"92","Wayne England",NA,0
"93","Anthony Francisco",NA,0
"94","David Martin",NA,0
"95","Eric Peterson",NA,0
"96","Erica Yang",NA,0
"97","Winona Nelson",NA,0
"98","David Rapoza",NA,0
"99","YW Tang",NA,0
"100","Steve Argyle",NA,0
"101","Zoltan Boros",NA,0
"102","Anna Steinbauer",NA,0
"103","Chris Rallis",NA,0
"104","Titus Lunter",NA,0
"105","John Avon",NA,0
"106","Dave Allsop",NA,0
"107","Magali Villeneuve",NA,0
"108","Sam Wood",NA,0
"109","rk post",NA,0
"110","Yongjae Choi",NA,0
"111","Mark Zug",NA,0
"112","Richard Kane Ferguson",NA,0
"113","David Auden Nash",NA,0
"114","Howard Lyon",NA,0
"115","Zezhou Chen",NA,0
"116","Karl Kopinski",NA,0
"117","Zack Stella",NA,0
"118","Tim Hildebrandt",NA,0
"119","Jonathan Kuo",NA,0
"120","Nils Hamm",NA,0
"121","Charles Urbach",NA,0
"122","Jama Jurabaev",NA,0
"123","Forrest Imel",NA,0
"124","Mike Bierek",NA,0
"125","Aaron Miller",NA,0
"126","Allen Williams",NA,0
"127","Mark A. Nelson",NA,0
"128","Lie Setiawan",NA,0
"129","Ryan Yee",NA,0
"130","Warren Mahy",NA,0
