"","SetName","Winrate","Presence"
"1","LEA",NA,0
"2","GPT",NA,0
"3","ONS",NA,0
"4","MH1",NA,0
"5","RAV",NA,0
"6","DRK",NA,0
"7","ELD",NA,0
"8","CSP",NA,0
"9","DIS",NA,0
"10","KTK",NA,0
"11","ZEN",NA,0
"12","AKH",NA,0
"13","WWK",NA,0
"14","JUD",NA,0
"15","THB",NA,0
"16","ZNR",NA,0
"17","IKO",NA,0
"18","WAR",NA,0
"19","RNA",NA,0
"20","AER",NA,0
"21","AVR",NA,0
"22","KHM",NA,0
"23","BFZ",NA,0
"24","CON",NA,0
"25","ODY",NA,0
"26","NPH",NA,0
"27","ROE",NA,0
"28","M20",NA,0
"29","TSP",NA,0
"30","DTK",NA,0
"31","KLD",NA,0
"32","RTR",NA,0
"33","MOR",NA,0
"34","LRW",NA,0
"35","SHM",NA,0
"36","M15",NA,0
"37","ISD",NA,0
"38","LEG",NA,0
"39","FUT",NA,0
"40","INV",NA,0
"41","JOU",NA,0
"42","ULG",NA,0
"43","ICE",NA,0
"44","ALL",NA,0
"45","FRF",NA,0
"46","ATQ",NA,0
"47","SOI",NA,0
"48","GRN",NA,0
"49","OGW",NA,0
"50","M21",NA,0
"51","5DN",NA,0
"52","STH",NA,0
"53","MRD",NA,0
"54","SOM",NA,0
"55","HOU",NA,0
"56","DST",NA,0
"57","WTH",NA,0
"58","XLN",NA,0
"59","GTC",NA,0
"60","STX",NA,0
"61","MBS",NA,0
"62","CHK",NA,0
"63","M11",NA,0
"64","M10",NA,0
"65","ARB",NA,0
"66","ORI",NA,0
"67","M14",NA,0
"68","ALA",NA,0
"69","EVE",NA,0
"70","CMD",NA,0
"71","NEM",NA,0
"72","DKA",NA,0
"73","EMN",NA,0
"74","DOM",NA,0
"75","TMP",NA,0
"76","SOK",NA,0
"77","PLC",NA,0
"78","PLS",NA,0
"79","M13",NA,0
"80","M12",NA,0
"81","MIR",NA,0
"82","ARN",NA,0
"83","TOR",NA,0
"84","M19",NA,0
"85","DGM",NA,0
"86","THS",NA,0
"87","HML",NA,0
"88","P02",NA,0
"89","APC",NA,0
