"","CardNames","DeckCount","Winrate95Min"
"1","Kozilek's Return",19,64.1
"2","Relic of Progenitus",30,63.6
"3","Veil of Summer",37,63.4
"4","Soul-Guide Lantern",17,63.2
"5","Lurrus of the Dream-Den",30,62.9
"6","Path to Exile",33,62.8
"7","Pithing Needle",19,62.7
"8","Engineered Explosives",13,62.5
"9","Damping Sphere",26,62.5
"10","Gaea's Blessing",8,61.5
"11","Liquimetal Coating",18,61.4
"12","Pillage",6,61.2
"13","Anger of the Gods",9,60.9
"14","Obosh, the Preypiercer",5,60.7
"15","Vanishing Verse",9,60.4
"16","Burrenton Forge-Tender",13,60.4
"17","Wurmcoil Engine",16,60.4
"18","Ensnaring Bridge",18,60.4
"19","Madcap Experiment",7,60.3
"20","Platinum Emperion",7,60.3
"21","Spell Pierce",8,60.3
"22","Aether Gust",19,60.3
"23","Tormod's Crypt",23,60.2
"24","Abrade",11,60.1
"25","Flame Slash",4,60
"26","Cleansing Wildfire",12,60
"27","Thoughtseize",13,60
"28","Reclamation Sage",12,59.9
"29","Rampaging Ferocidon",6,59.7
"30","Deicide",14,59.6
"31","Auriok Champion",16,59.6
"32","Grafdigger's Cage",19,59.2
"33","Assassin's Trophy",7,58.4
"34","Rip Apart",10,58.1
"35","Abrupt Decay",5,58
"36","Rest in Peace",9,57.9
"37","Unmoored Ego",3,57.8
"38","Leyline of the Void",7,57.8
"39","Walking Ballista",14,57.8
"40","Skysovereign, Consul Flagship",11,57.6
"41","Fatal Push",7,57.1
"42","Deafening Silence",4,56.7
"43","Kaya's Guile",9,56.7
"44","Spatial Contortion",10,56.7
"45","Sorcerous Spyglass",13,56.7
"46","Sigarda, Host of Herons",2,56.6
"47","Batterskull",2,56.6
"48","Celestial Purge",8,56.6
"49","Kor Firewalker",13,56.1
"50","Plague Engineer",11,56
