"","ArtistName","Winrate","Presence"
"1","Douglas Shuler",NA,0
"2","Christopher Rush",NA,0
"3","Anthony S. Waters",NA,0
"4","Rob Alexander",NA,0
"5","Chippy",NA,0
"6","Mark Poole",NA,0
"7","Jesper Myrfors",NA,0
"8","Chase Stone",NA,0
"9","Raymond Swanland",NA,0
"10","Shelly Wan",NA,0
"11","Steve Argyle",NA,0
"12","Philip Straub",NA,0
"13","Vance Kovacs",NA,0
"14","Victor Adame Minguez",NA,0
"15","Todd Lockwood",NA,0
"16","Tom Wänerstrand",NA,0
"17","Cynthia Sheppard",NA,0
"18","Don Hazeltine",NA,0
"19","Ron Spears",NA,0
"20","Darrell Riche",NA,0
"21","Jonas De Ro",NA,0
"22","Chris Rallis",NA,0
"23","Dan Frazier",NA,0
"24","Eric Deschamps",NA,0
"25","Chris Rahn",NA,0
"26","Volkan Baǵa",NA,0
"27","rk post",NA,0
"28","Donato Giancola",NA,0
"29","Sam Burley",NA,0
"30","Daarken",NA,0
"31","Dmitry Burmak",NA,0
"32","John Stanko",NA,0
"33","Adam Paquette",NA,0
"34","Dave Kendall",NA,0
"35","Jeff Miracola",NA,0
"36","Kieran Yanner",NA,0
"37","Gabor Szikszai",NA,0
"38","Howard Lyon",NA,0
"39","Daniel Ljunggren",NA,0
"40","Scott Murphy",NA,0
"41","Franz Vohwinkel",NA,0
"42","Wayne England",NA,0
"43","Tomasz Jedruszek",NA,0
"44","Aleksi Briclot",NA,0
"45","Magali Villeneuve",NA,0
"46","Richard Kane Ferguson",NA,0
"47","Chris Ostrowski",NA,0
"48","David Rapoza",NA,0
"49","Wisnu Tan",NA,0
"50","Caio Monteiro",NA,0
"51","Michael Sutfin",NA,0
"52","Lius Lasahido",NA,0
"53","Ryan Pancoast",NA,0
"54","Yeong-Hao Han",NA,0
"55","Cliff Childs",NA,0
"56","Dimitar Marinski",NA,0
"57","Yongjae Choi",NA,0
"58","Paul Scott Canavan",NA,0
"59","John Howe",NA,0
"60","Mark Zug",NA,0
"61","Alayna Danner",NA,0
"62","John Avon",NA,0
"63","Michael Komarck",NA,0
"64","Raoul Vitale",NA,0
"65","Heather Hudson",NA,0
"66","Peter Mohrbacher",NA,0
"67","Glen Angus",NA,0
"68","Mathias Kollros",NA,0
"69","Mike Bierek",NA,0
"70","Jason Chan",NA,0
