"","ArtistName","Winrate","Presence"
"1","Cliff Childs",NA,0
"2","Lius Lasahido",NA,0
"3","Ron Spears",NA,0
"4","Lake Hurwitz",NA,0
"5","Todd Lockwood",NA,0
"6","Slawomir Maniak",NA,0
"7","Adam Paquette",NA,0
"8","Tomasz Jedruszek",NA,0
"9","Jason Chan",NA,0
"10","Pete Venters",NA,0
"11","Noah Bradley",NA,0
"12","Mathias Kollros",NA,0
"13","Jean-Sébastien Rossbach",NA,0
"14","Raymond Swanland",NA,0
"15","Anna Podedworna",NA,0
"16","Jonas De Ro",NA,0
"17","Johann Bodin",NA,0
"18","Chris Rahn",NA,0
"19","Vance Kovacs",NA,0
"20","Christopher Rush",NA,0
"21","Chuck Lukacs",NA,0
"22","Igor Kieryluk",NA,0
"23","Seb McKinnon",NA,0
"24","Joseph Meehan",NA,0
"25","Rebecca Guay",NA,0
"26","Michael Sutfin",NA,0
"27","Aleksi Briclot",NA,0
"28","Adam Rex",NA,0
"29","Terese Nielsen",NA,0
"30","Richard Kane Ferguson",NA,0
"31","Daniel Ljunggren",NA,0
"32","Daarken",NA,0
"33","Christopher Moeller",NA,0
"34","Matt Stewart",NA,0
"35","David Palumbo",NA,0
"36","Chris Seaman",NA,0
"37","Ryan Pancoast",NA,0
"38","Jung Park",NA,0
"39","Jim Nelson",NA,0
"40","Chris Ostrowski",NA,0
"41","Dan Scott",NA,0
"42","Jonathan Kuo",NA,0
"43","Dave Kendall",NA,0
"44","Ekaterina Burmak",NA,0
"45","Paul Scott Canavan",NA,0
"46","Eric Deschamps",NA,0
"47","Randy Vargas",NA,0
"48","Alan Pollack",NA,0
"49","Svetlin Velinov",NA,0
"50","Volkan Baǵa",NA,0
"51","Kieran Yanner",NA,0
"52","Randy Gallegos",NA,0
"53","Jason Rainville",NA,0
"54","Matt Cavotta",NA,0
"55","Steven Belledin",NA,0
"56","Jim Murray",NA,0
"57","Nicholas Gregory",NA,0
"58","Mark Zug",NA,0
"59","Chris Rallis",NA,0
"60","Kev Walker",NA,0
"61","Magali Villeneuve",NA,0
"62","Tim Hildebrandt",NA,0
"63","Michael Komarck",NA,0
"64","Izzy",NA,0
"65","Tom Wänerstrand",NA,0
"66","Cynthia Sheppard",NA,0
"67","Heather Hudson",NA,0
"68","Austin Hsu",NA,0
"69","Tyler Walpole",NA,0
"70","Chase Stone",NA,0
"71","Alayna Danner",NA,0
"72","Don Hazeltine",NA,0
"73","Jesper Ejsing",NA,0
"74","James Paick",NA,0
"75","Zoltan Boros & Gabor Szikszai",NA,0
"76","Mark Tedin",NA,0
"77","Franz Vohwinkel",NA,0
"78","Jama Jurabaev",NA,0
"79","Chris Cold",NA,0
"80","Sam Burley",NA,0
"81","Vincent Proce",NA,0
"82","Wayne Reynolds",NA,0
"83","Erica Yang",NA,0
"84","Winona Nelson",NA,0
"85","Dimitar Marinski",NA,0
"86","Jeremy Jarvis",NA,0
"87","James Ryman",NA,0
"88","Ron Spencer",NA,0
"89","Pat Lee",NA,0
"90","Forrest Imel",NA,0
"91","Howard Lyon",NA,0
"92","Sam Wood",NA,0
"93","Jason Kang",NA,0
"94","Greg Staples",NA,0
"95","Grzegorz Rutkowski",NA,0
"96","Yeong-Hao Han",NA,0
"97","Jason Alexander Behnke",NA,0
"98","John Avon",NA,0
"99","Lie Setiawan",NA,0
"100","Amy Weber",NA,0
"101","Caio Monteiro",NA,0
"102","Jaime Jones",NA,0
"103","Andrey Kuzinskiy",NA,0
"104","Campbell White",NA,0
"105","Filip Burburan",NA,0
"106","Donato Giancola",NA,0
"107","Dave Allsop",NA,0
"108","Mila Pesic",NA,0
"109","Anna Steinbauer",NA,0
"110","Wayne England",NA,0
"111","Mark Behm",NA,0
"112","Victor Adame Minguez",NA,0
"113","Charles Urbach",NA,0
"114","Deruchenko Alexander",NA,0
"115","Anastasia Ovchinnikova",NA,0
"116","Jason A. Engle",NA,0
"117","Melissa A. Benson",NA,0
"118","Lucas Graciano",NA,0
"119","Warren Mahy",NA,0
"120","Mike Bierek",NA,0
"121","David Rapoza",NA,0
"122","Anthony Francisco",NA,0
"123","David Martin",NA,0
"124","Eric Peterson",NA,0
"125","YW Tang",NA,0
"126","Steve Argyle",NA,0
"127","Zoltan Boros",NA,0
"128","Jack Wang",NA,0
"129","Raoul Vitale",NA,0
"130","Nils Hamm",NA,0
"131","Titus Lunter",NA,0
"132","Martina Pilcerova",NA,0
"133","rk post",NA,0
"134","Yongjae Choi",NA,0
"135","David Auden Nash",NA,0
"136","Zezhou Chen",NA,0
"137","Karl Kopinski",NA,0
"138","Zack Stella",NA,0
"139","Gabor Szikszai",NA,0
"140","DiTerlizzi",NA,0
"141","Ryan Yee",NA,0
"142","Sam Rowan",NA,0
"143","Quinton Hoover",NA,0
"144","Aaron Miller",NA,0
"145","Allen Williams",NA,0
"146","Mark A. Nelson",NA,0
"147","Mitchell Malloy",NA,0
"148","Chippy",NA,0
