"","SetName","Winrate","Presence"
"1","THB",NA,0
"2","OGW",NA,0
"3","5DN",NA,0
"4","M20",NA,0
"5","CON",NA,0
"6","IKO",NA,0
"7","DOM",NA,0
"8","JOU",NA,0
"9","SOK",NA,0
"10","THS",NA,0
"11","ZNR",NA,0
"12","ALA",NA,0
"13","ROE",NA,0
"14","STX",NA,0
"15","HOU",NA,0
"16","SOM",NA,0
"17","KLD",NA,0
"18","ZEN",NA,0
"19","DRK",NA,0
"20","LRW",NA,0
"21","STH",NA,0
"22","ELD",NA,0
"23","GRN",NA,0
"24","WTH",NA,0
"25","GPT",NA,0
"26","RTR",NA,0
"27","ALL",NA,0
"28","DKA",NA,0
"29","WWK",NA,0
"30","M15",NA,0
"31","M11",NA,0
"32","TSP",NA,0
"33","WAR",NA,0
"34","XLN",NA,0
"35","NPH",NA,0
"36","MH1",NA,0
"37","AER",NA,0
"38","DST",NA,0
"39","M12",NA,0
"40","RAV",NA,0
"41","FUT",NA,0
"42","AVR",NA,0
"43","SOI",NA,0
"44","M21",NA,0
"45","DIS",NA,0
"46","CMD",NA,0
"47","DGM",NA,0
"48","M19",NA,0
"49","MBS",NA,0
"50","ULG",NA,0
"51","BFZ",NA,0
"52","MRD",NA,0
"53","EMN",NA,0
"54","DTK",NA,0
"55","ISD",NA,0
"56","MOR",NA,0
"57","KTK",NA,0
"58","BNG",NA,0
"59","TMP",NA,0
"60","PLC",NA,0
"61","SHM",NA,0
"62","LEA",NA,0
"63","FRF",NA,0
"64","GTC",NA,0
"65","M10",NA,0
"66","AKH",NA,0
"67","ICE",NA,0
"68","USG",NA,0
"69","ORI",NA,0
"70","NEM",NA,0
"71","ARB",NA,0
"72","POR",NA,0
"73","KHM",NA,0
"74","M13",NA,0
"75","RNA",NA,0
"76","M14",NA,0
"77","PLS",NA,0
"78","TOR",NA,0
