"","ArtistName","Winrate","Presence"
"1","Cliff Childs",NA,0
"2","Todd Lockwood",NA,0
"3","Lake Hurwitz",NA,0
"4","Slawomir Maniak",NA,0
"5","Lius Lasahido",NA,0
"6","Jason Chan",NA,0
"7","Tomasz Jedruszek",NA,0
"8","Ron Spears",NA,0
"9","Adam Paquette",NA,0
"10","Mathias Kollros",NA,0
"11","Ekaterina Burmak",NA,0
"12","Anna Podedworna",NA,0
"13","Chris Rahn",NA,0
"14","Matt Stewart",NA,0
"15","Jonas De Ro",NA,0
"16","Christopher Rush",NA,0
"17","Vance Kovacs",NA,0
"18","Noah Bradley",NA,0
"19","Pete Venters",NA,0
"20","Paul Scott Canavan",NA,0
"21","Raymond Swanland",NA,0
"22","Johann Bodin",NA,0
"23","Michael Sutfin",NA,0
"24","Michael Komarck",NA,0
"25","Randy Vargas",NA,0
"26","Matt Cavotta",NA,0
"27","Ryan Pancoast",NA,0
"28","Chuck Lukacs",NA,0
"29","Cynthia Sheppard",NA,0
"30","David Palumbo",NA,0
"31","Terese Nielsen",NA,0
"32","Daniel Ljunggren",NA,0
"33","Daarken",NA,0
"34","Jean-Sébastien Rossbach",NA,0
"35","Seb McKinnon",NA,0
"36","Izzy",NA,0
"37","Igor Kieryluk",NA,0
"38","Alan Pollack",NA,0
"39","Svetlin Velinov",NA,0
"40","Jim Nelson",NA,0
"41","Chris Ostrowski",NA,0
"42","Adam Rex",NA,0
"43","Dan Scott",NA,0
"44","Jung Park",NA,0
"45","Kev Walker",NA,0
"46","Wayne Reynolds",NA,0
"47","Eric Deschamps",NA,0
"48","Aleksi Briclot",NA,0
"49","Dave Kendall",NA,0
"50","Steven Belledin",NA,0
"51","Chris Rallis",NA,0
"52","James Ryman",NA,0
"53","Heather Hudson",NA,0
"54","Mark Tedin",NA,0
"55","Volkan Baǵa",NA,0
"56","Magali Villeneuve",NA,0
"57","Joseph Meehan",NA,0
"58","Victor Adame Minguez",NA,0
"59","Franz Vohwinkel",NA,0
"60","Warren Mahy",NA,0
"61","Charles Urbach",NA,0
"62","Tyler Walpole",NA,0
"63","Deruchenko Alexander",NA,0
"64","Anastasia Ovchinnikova",NA,0
"65","Jason A. Engle",NA,0
"66","Melissa A. Benson",NA,0
"67","Lucas Graciano",NA,0
"68","Mark Zug",NA,0
"69","Forrest Imel",NA,0
"70","Kieran Yanner",NA,0
"71","Nicholas Gregory",NA,0
"72","Zoltan Boros & Gabor Szikszai",NA,0
"73","Randy Gallegos",NA,0
"74","Campbell White",NA,0
"75","Jesper Ejsing",NA,0
"76","Tom Wänerstrand",NA,0
"77","Sam Wood",NA,0
"78","Jim Murray",NA,0
"79","Don Hazeltine",NA,0
"80","Erica Yang",NA,0
"81","Winona Nelson",NA,0
"82","Christopher Moeller",NA,0
"83","Howard Lyon",NA,0
"84","Vincent Proce",NA,0
"85","Jaime Jones",NA,0
"86","Chris Cold",NA,0
"87","Jason Alexander Behnke",NA,0
"88","Andrey Kuzinskiy",NA,0
"89","Zoltan Boros",NA,0
"90","James Paick",NA,0
"91","Jason Kang",NA,0
"92","Caio Monteiro",NA,0
"93","Filip Burburan",NA,0
"94","Ron Spencer",NA,0
"95","Jason Rainville",NA,0
"96","Sam Burley",NA,0
"97","Mike Bierek",NA,0
"98","Martina Pilcerova",NA,0
"99","Rebecca Guay",NA,0
"100","Sam Rowan",NA,0
"101","Pat Lee",NA,0
"102","Amy Weber",NA,0
"103","Quinton Hoover",NA,0
"104","Nils Hamm",NA,0
"105","Tim Hildebrandt",NA,0
