"","CardNames","DeckCount","WinrateAverage"
"1","Shock",2,100
"2","Timely Reinforcements",1,100
"3","Aether Gust",1,100
"4","Luminarch Aspirant",1,100
"5","Idyllic Grange",1,100
"6","Fatestitcher",1,100
"7","Sylvan Caryatid",1,100
"8","Glittering Wish",1,100
"9","Cerulean Wisps",1,100
"10","Repeal",1,100
"11","Silence",1,100
"12","Swan Song",1,100
"13","Veil of Summer",1,100
"14","Jeskai Ascendancy",1,100
"15","Grove of the Burnwillows",1,100
"16","Pyrite Spellbomb",1,100
"17","Claim the Firstborn",2,87.5
"18","Botanical Sanctum",2,87.5
"19","Saheeli Rai",2,87.5
"20","Felidar Guardian",2,87.5
"21","Oath of Nissa",3,83.3
"22","Chandra, Acolyte of Flame",2,83.3
"23","Wall of Blossoms",3,82.4
"24","Imperious Perfect",1,81.8
"25","Tireless Tracker",3,80.8
"26","Eladamri's Call",3,80
"27","Stubborn Denial",3,80
"28","Charming Prince",1,80
"29","Wasteland Strangler",1,80
"30","Brightclimb Pathway",1,80
"31","Dreadhorde Arcanist",1,80
"32","Springleaf Drum",5,78.9
"33","Archon of Emeria",4,78.9
"34","Dwynen's Elite",2,78.9
"35","Elvish Archdruid",2,78.9
"36","Elvish Mystic",2,78.9
"37","Elvish Visionary",2,78.9
"38","Elvish Warmaster",2,78.9
"39","Ezuri, Renegade Leader",2,78.9
"40","Heritage Druid",2,78.9
"41","Nettle Sentinel",2,78.9
"42","Shaman of the Pack",2,78.9
"43","Gilt-Leaf Palace",2,78.9
"44","Growth Spiral",4,78.3
"45","Klothys, God of Destiny",8,78.2
"46","Pillage",8,78.2
"47","Elite Spellbinder",3,77.8
"48","Eternal Witness",1,77.8
"49","Fire-Lit Thicket",1,77.8
"50","Unearth",14,77.5
