"","SetName","Winrate","Presence"
"1","LEA",NA,0
"2","ONS",NA,0
"3","DIS",NA,0
"4","GPT",NA,0
"5","RAV",NA,0
"6","ZEN",NA,0
"7","MH1",NA,0
"8","AKH",NA,0
"9","KTK",NA,0
"10","ELD",NA,0
"11","CSP",NA,0
"12","JUD",NA,0
"13","ZNR",NA,0
"14","WAR",NA,0
"15","DRK",NA,0
"16","IKO",NA,0
"17","NPH",NA,0
"18","KLD",NA,0
"19","SHM",NA,0
"20","WWK",NA,0
"21","ULG",NA,0
"22","CON",NA,0
"23","M21",NA,0
"24","RNA",NA,0
"25","THB",NA,0
"26","KHM",NA,0
"27","BFZ",NA,0
"28","ISD",NA,0
"29","DTK",NA,0
"30","AER",NA,0
"31","INV",NA,0
"32","M20",NA,0
"33","TSP",NA,0
"34","AVR",NA,0
"35","RTR",NA,0
"36","5DN",NA,0
"37","ALL",NA,0
"38","ROE",NA,0
"39","ODY",NA,0
"40","FUT",NA,0
"41","LRW",NA,0
"42","STX",NA,0
"43","STH",NA,0
"44","M15",NA,0
"45","MOR",NA,0
"46","ARB",NA,0
"47","DKA",NA,0
"48","ICE",NA,0
"49","M11",NA,0
"50","M10",NA,0
"51","CHK",NA,0
"52","FRF",NA,0
"53","SOM",NA,0
"54","ATQ",NA,0
"55","EMN",NA,0
"56","XLN",NA,0
"57","SOI",NA,0
"58","GRN",NA,0
"59","OGW",NA,0
"60","WTH",NA,0
"61","JOU",NA,0
"62","MBS",NA,0
"63","MRD",NA,0
"64","HOU",NA,0
"65","GTC",NA,0
"66","DST",NA,0
"67","EVE",NA,0
"68","ORI",NA,0
"69","LEG",NA,0
"70","PLS",NA,0
"71","NEM",NA,0
"72","PLC",NA,0
"73","TMP",NA,0
"74","DOM",NA,0
"75","THS",NA,0
"76","M14",NA,0
"77","ALA",NA,0
"78","CMD",NA,0
"79","ARN",NA,0
"80","M13",NA,0
"81","SOK",NA,0
"82","P02",NA,0
"83","M12",NA,0
"84","M19",NA,0
"85","MIR",NA,0
"86","TOR",NA,0
"87","APC",NA,0
"88","DGM",NA,0
"89","BNG",NA,0
"90","HML",NA,0
