"","CardNames","DeckCount","WinrateAverage"
"1","Lightning Bolt",90,70.6
"2","Wooded Foothills",89,70.1
"3","Mountain",84,71.2
"4","Forest",70,69.8
"5","Bloodstained Mire",58,69.7
"6","Windswept Heath",52,72
"7","Sacred Foundry",48,70.2
"8","Steam Vents",48,70.5
"9","Plains",47,70.6
"10","Stomping Ground",46,71.1
"11","Monastery Swiftspear",45,70.8
"12","Verdant Catacombs",44,70.2
"13","Island",38,69.8
"14","Misty Rainforest",38,70.9
"15","Mishra's Bauble",38,71.6
"16","Lava Dart",38,71
"17","Temple Garden",37,70.9
"18","Soul-Scar Mage",36,71.1
"19","Arid Mesa",35,71.2
"20","Walking Ballista",35,68.1
"21","Swamp",35,68.6
"22","Overgrown Tomb",31,69.7
"23","Scalding Tarn",31,70.4
"24","Fatal Push",31,68.6
"25","Manamorphose",30,69.3
"26","Blood Crypt",29,69.4
"27","Cavern of Souls",29,69.5
"28","Breeding Pool",29,71.7
"29","Karn, the Great Creator",28,69.2
"30","Blast Zone",28,70
"31","Utopia Sprawl",27,71.3
"32","Opt",26,68.9
"33","Mutagenic Growth",26,70.6
"34","Light Up the Stage",25,71.1
"35","Dismember",23,67.8
"36","Arbor Elf",23,71.2
"37","Sunbaked Canyon",22,68.9
"38","Fiery Islet",22,69.1
"39","Dryad of the Ilysian Grove",22,71.7
"40","Valakut, the Molten Pinnacle",22,71.7
"41","Expedition Map",21,66.7
"42","Urza's Mine",21,66.7
"43","Urza's Power Plant",21,66.7
"44","Urza's Tower",21,66.7
"45","Radiant Fountain",21,70.1
"46","Spirebluff Canal",21,70.3
"47","Teferi, Time Raveler",21,71
"48","Ketria Triome",21,71
"49","Noble Hierarch",21,68.8
"50","Skyclave Apparition",21,70.6
