"","ArtistName","Winrate","Presence"
"1","Douglas Shuler",NA,0
"2","Rob Alexander",NA,0
"3","Christopher Rush",NA,0
"4","Chris Rahn",NA,0
"5","Chase Stone",NA,0
"6","Anthony S. Waters",NA,0
"7","Sam Burley",NA,0
"8","Jeff Miracola",NA,0
"9","Todd Lockwood",NA,0
"10","Steve Argyle",NA,0
"11","Mark Poole",NA,0
"12","Shelly Wan",NA,0
"13","Jesper Myrfors",NA,0
"14","Richard Wright",NA,0
"15","Philip Straub",NA,0
"16","Dave Kendall",NA,0
"17","Darrell Riche",NA,0
"18","Chris Rallis",NA,0
"19","Caroline Gariba",NA,0
"20","Jonas De Ro",NA,0
"21","Gabor Szikszai",NA,0
"22","Dan Frazier",NA,0
"23","Adam Paquette",NA,0
"24","Ron Spears",NA,0
"25","Daniel Ljunggren",NA,0
"26","Vance Kovacs",NA,0
"27","Chippy",NA,0
"28","Raymond Swanland",NA,0
"29","Eric Deschamps",NA,0
"30","John Howe",NA,0
"31","Yongjae Choi",NA,0
"32","Volkan Baǵa",NA,0
"33","Dmitry Burmak",NA,0
"34","Yeong-Hao Han",NA,0
"35","Donato Giancola",NA,0
"36","rk post",NA,0
"37","Mark Zug",NA,0
"38","Michael Sutfin",NA,0
"39","Lius Lasahido",NA,0
"40","Ryan Pancoast",NA,0
"41","Cliff Childs",NA,0
"42","Ben Thompson",NA,0
"43","Wayne England",NA,0
"44","Michael Komarck",NA,0
"45","Wisnu Tan",NA,0
"46","John Stanko",NA,0
"47","Paul Scott Canavan",NA,0
"48","John Avon",NA,0
"49","Kieran Yanner",NA,0
"50","Franz Vohwinkel",NA,0
"51","Hideaki Takamura",NA,0
"52","David Rapoza",NA,0
"53","Don Hazeltine",NA,0
"54","Anastasia Ovchinnikova",NA,0
"55","Raoul Vitale",NA,0
"56","Heather Hudson",NA,0
"57","Peter Mohrbacher",NA,0
"58","Randy Gallegos",NA,0
"59","Jason Chan",NA,0
"60","Caio Monteiro",NA,0
"61","Scott Murphy",NA,0
"62","Dimitar Marinski",NA,0
"63","Tomasz Jedruszek",NA,0
"64","Aleksi Briclot",NA,0
"65","Anson Maddocks",NA,0
"66","Seb McKinnon",NA,0
"67","Daarken",NA,0
"68","Chris Ostrowski",NA,0
"69","Deruchenko Alexander",NA,0
"70","Jason Rainville",NA,0
"71","Kev Walker",NA,0
"72","Fred Fields",NA,0
"73","Vincent Proce",NA,0
