"","SetName","Winrate","Presence"
"1","LEA",NA,0
"2","ONS",NA,0
"3","DIS",NA,0
"4","GPT",NA,0
"5","ZNR",NA,0
"6","MH1",NA,0
"7","CON",NA,0
"8","ZEN",NA,0
"9","SHM",NA,0
"10","IKO",NA,0
"11","RAV",NA,0
"12","KTK",NA,0
"13","AKH",NA,0
"14","NPH",NA,0
"15","WAR",NA,0
"16","JUD",NA,0
"17","M21",NA,0
"18","AER",NA,0
"19","KLD",NA,0
"20","CSP",NA,0
"21","INV",NA,0
"22","AVR",NA,0
"23","ISD",NA,0
"24","RNA",NA,0
"25","KHM",NA,0
"26","BFZ",NA,0
"27","RTR",NA,0
"28","WWK",NA,0
"29","5DN",NA,0
"30","THB",NA,0
"31","ATQ",NA,0
"32","LRW",NA,0
"33","ROE",NA,0
"34","FUT",NA,0
"35","ELD",NA,0
"36","STX",NA,0
"37","OGW",NA,0
"38","MRD",NA,0
"39","DTK",NA,0
"40","DKA",NA,0
"41","ICE",NA,0
"42","ULG",NA,0
"43","STH",NA,0
"44","XLN",NA,0
"45","GRN",NA,0
"46","WTH",NA,0
"47","ORI",NA,0
"48","MOR",NA,0
"49","M10",NA,0
"50","M15",NA,0
"51","HOU",NA,0
"52","FRF",NA,0
"53","TSP",NA,0
"54","M11",NA,0
"55","DST",NA,0
"56","SOM",NA,0
"57","ARB",NA,0
"58","M20",NA,0
"59","PLC",NA,0
"60","DOM",NA,0
"61","SOI",NA,0
"62","MBS",NA,0
"63","DRK",NA,0
"64","CHK",NA,0
"65","EVE",NA,0
"66","GTC",NA,0
"67","ALL",NA,0
"68","ALA",NA,0
"69","M12",NA,0
"70","ARN",NA,0
"71","THS",NA,0
"72","P02",NA,0
"73","NEM",NA,0
"74","JOU",NA,0
"75","M13",NA,0
"76","CMD",NA,0
"77","LEG",NA,0
"78","EMN",NA,0
"79","SOK",NA,0
"80","DGM",NA,0
"81","M19",NA,0
"82","TMP",NA,0
"83","MIR",NA,0
"84","PLS",NA,0
"85","ODY",NA,0
"86","APC",NA,0
