"","CardNames","DeckCount","Winrate95Min"
"1","Soul-Guide Lantern",16,75
"2","Cleansing Wildfire",19,74
"3","Veil of Summer",37,73.1
"4","Kozilek's Return",19,72.5
"5","Spell Pierce",14,71.7
"6","Abrade",15,71.5
"7","Aether Gust",24,70.8
"8","Path to Exile",25,69.7
"9","Tormod's Crypt",21,69.6
"10","Relic of Progenitus",22,68.4
"11","Lurrus of the Dream-Den",15,67.7
"12","Celestial Purge",6,67.6
"13","Pithing Needle",14,67.6
"14","Deicide",13,67.5
"15","Wurmcoil Engine",12,67.4
"16","Ensnaring Bridge",12,67.4
"17","Liquimetal Coating",12,67.4
"18","Dragon's Claw",7,67.3
"19","Vapor Snag",7,67.3
"20","Grafdigger's Cage",11,67.3
"21","Bedlam Reveler",11,67.3
"22","Skysovereign, Consul Flagship",9,67.2
"23","Engineered Explosives",20,66.8
"24","Damping Sphere",18,66.4
"25","Mystical Dispute",14,65.6
"26","Dispel",13,65.3
"27","Anger of the Gods",10,64.4
"28","Ceremonious Rejection",9,64
"29","Rip Apart",9,64
"30","Walking Ballista",8,63.6
"31","Shock",2,63.1
"32","Ashiok, Dream Render",7,63.1
"33","Sorcerous Spyglass",7,63.1
"34","Torpor Orb",7,63.1
"35","Sundering Titan",7,63.1
"36","Kor Firewalker",6,62.6
"37","Timely Reinforcements",6,62.6
"38","Dovin's Veto",5,62.1
"39","Jegantha, the Wellspring",5,62.1
"40","Madcap Experiment",5,62.1
"41","Platinum Emperion",5,62.1
"42","Auriok Champion",15,62.1
"43","Burrenton Forge-Tender",10,61.5
"44","Spatial Contortion",9,60.8
"45","Rest in Peace",8,60
"46","Thoughtseize",8,60
"47","Force of Negation",7,59
"48","Fatal Push",7,59
"49","Lightning Helix",7,59
"50","Kozilek, Butcher of Truth",6,57.8
