"","SetName","Winrate","Presence"
"1","THB",NA,0
"2","ZNR",NA,0
"3","M20",NA,0
"4","OGW",NA,0
"5","ZEN",NA,0
"6","HOU",NA,0
"7","CON",NA,0
"8","DRK",NA,0
"9","ALA",NA,0
"10","IKO",NA,0
"11","SOK",NA,0
"12","JOU",NA,0
"13","SOM",NA,0
"14","STH",NA,0
"15","DST",NA,0
"16","NPH",NA,0
"17","DKA",NA,0
"18","EMN",NA,0
"19","KLD",NA,0
"20","5DN",NA,0
"21","DOM",NA,0
"22","ELD",NA,0
"23","WWK",NA,0
"24","THS",NA,0
"25","STX",NA,0
"26","AER",NA,0
"27","WAR",NA,0
"28","XLN",NA,0
"29","M12",NA,0
"30","LRW",NA,0
"31","RTR",NA,0
"32","MH1",NA,0
"33","RAV",NA,0
"34","ROE",NA,0
"35","FUT",NA,0
"36","DGM",NA,0
"37","GRN",NA,0
"38","WTH",NA,0
"39","BFZ",NA,0
"40","M15",NA,0
"41","TSP",NA,0
"42","M11",NA,0
"43","GPT",NA,0
"44","M19",NA,0
"45","ISD",NA,0
"46","DIS",NA,0
"47","SOI",NA,0
"48","MRD",NA,0
"49","KTK",NA,0
"50","BOK",NA,0
"51","MOR",NA,0
"52","ULG",NA,0
"53","CMD",NA,0
"54","MBS",NA,0
"55","M10",NA,0
"56","AKH",NA,0
"57","ICE",NA,0
"58","USG",NA,0
"59","M21",NA,0
"60","PLC",NA,0
"61","DTK",NA,0
"62","AVR",NA,0
"63","KHM",NA,0
"64","FRF",NA,0
"65","TOR",NA,0
"66","TMP",NA,0
"67","M13",NA,0
"68","ORI",NA,0
"69","LEA",NA,0
"70","SHM",NA,0
"71","ALL",NA,0
"72","BNG",NA,0
