"","ArtistName","Winrate","Presence"
"1","Anthony S. Waters",NA,0
"2","Christopher Rush",NA,0
"3","Douglas Shuler",NA,0
"4","Rob Alexander",NA,0
"5","Chippy",NA,0
"6","Jesper Myrfors",NA,0
"7","Kev Walker",NA,0
"8","Scott Murphy",NA,0
"9","Kieran Yanner",NA,0
"10","Steve Argyle",NA,0
"11","Raymond Swanland",NA,0
"12","Mike Bierek",NA,0
"13","Victor Adame Minguez",NA,0
"14","Shelly Wan",NA,0
"15","Howard Lyon",NA,0
"16","Darrell Riche",NA,0
"17","Cynthia Sheppard",NA,0
"18","Jonas De Ro",NA,0
"19","Vance Kovacs",NA,0
"20","John Avon",NA,0
"21","Karl Kopinski",NA,0
"22","Martina Pilcerova",NA,0
"23","Seb McKinnon",NA,0
"24","Mark Poole",NA,0
"25","Sam Burley",NA,0
"26","Tom Wänerstrand",NA,0
"27","Yongjae Choi",NA,0
"28","Dave Kendall",NA,0
"29","John Howe",NA,0
"30","Ron Spears",NA,0
"31","Chase Stone",NA,0
"32","Cliff Childs",NA,0
"33","Chris Rallis",NA,0
"34","Adam Paquette",NA,0
"35","Philip Straub",NA,0
"36","Dmitry Burmak",NA,0
"37","Jeff Miracola",NA,0
"38","Wisnu Tan",NA,0
"39","Zack Stella",NA,0
"40","Eric Deschamps",NA,0
"41","Todd Lockwood",NA,0
"42","Warren Mahy",NA,0
"43","Zoltan Boros & Gabor Szikszai",NA,0
"44","Chris Ostrowski",NA,0
"45","rk post",NA,0
"46","Dan Frazier",NA,0
"47","Jason Rainville",NA,0
"48","Chris Rahn",NA,0
"49","Gabor Szikszai",NA,0
"50","Richard Wright",NA,0
"51","Aleksi Briclot",NA,0
"52","Donato Giancola",NA,0
"53","Khang Le",NA,0
"54","Caroline Gariba",NA,0
"55","Alayna Danner",NA,0
"56","Ryan Pancoast",NA,0
"57","Volkan Baǵa",NA,0
"58","Izzy",NA,0
"59","Cyril Van Der Haegen",NA,0
"60","Daniel Ljunggren",NA,0
"61","Ron Spencer",NA,0
"62","Fred Fields",NA,0
"63","Glen Angus",NA,0
"64","Yeong-Hao Han",NA,0
"65","Paul Scott Canavan",NA,0
"66","Wayne England",NA,0
"67","Titus Lunter",NA,0
"68","Mark A. Nelson",NA,0
"69","Franz Vohwinkel",NA,0
"70","Richard Kane Ferguson",NA,0
"71","Mark Zug",NA,0
"72","Anastasia Ovchinnikova",NA,0
"73","Greg Hildebrandt",NA,0
"74","Brom",NA,0
"75","Terese Nielsen",NA,0
"76","Magali Villeneuve",NA,0
"77","Anson Maddocks",NA,0
"78","Svetlin Velinov",NA,0
"79","Amy Weber",NA,0
"80","Jason Chan",NA,0
