"","CardNames","DeckCount","Winrate95Min"
"1","Windswept Heath",83,67.6
"2","Lightning Bolt",129,67.3
"3","Mountain",117,67.2
"4","Wooded Foothills",127,67
"5","Breeding Pool",53,66.7
"6","Stomping Ground",63,66.6
"7","Mishra's Bauble",56,66.5
"8","Sacred Foundry",63,66.5
"9","Plains",66,66.5
"10","Forest",102,66.5
"11","Eladamri's Call",4,66.4
"12","Dryad of the Ilysian Grove",31,66.3
"13","Valakut, the Molten Pinnacle",31,66.3
"14","Monastery Swiftspear",65,66.3
"15","Arid Mesa",47,66.1
"16","Steam Vents",79,66.1
"17","Stoneforge Mystic",17,66
"18","Bonecrusher Giant",21,66
"19","Temple Garden",58,66
"20","Misty Rainforest",64,66
"21","Bojuka Bog",22,65.9
"22","Lava Dart",55,65.9
"23","Flagstones of Trokair",12,65.8
"24","Seasoned Pyromancer",25,65.8
"25","Godless Shrine",27,65.8
"26","Soul-Scar Mage",53,65.8
"27","Elvish Reclaimer",11,65.7
"28","Bring to Light",28,65.7
"29","Verdant Catacombs",64,65.7
"30","Boros Garrison",14,65.6
"31","Selesnya Sanctuary",14,65.6
"32","Slayers' Stronghold",14,65.6
"33","Sunhome, Fortress of the Legion",14,65.6
"34","Giver of Runes",15,65.6
"35","Bloodstained Mire",77,65.6
"36","Island",59,65.4
"37","Ketria Triome",35,65.3
"38","Blood Moon",25,65.1
"39","Valki, God of Lies",30,65
"40","Mutagenic Growth",44,65
"41","Opt",45,64.8
"42","Utopia Sprawl",45,64.8
"43","Wrenn and Six",33,64.7
"44","Cavern of Souls",43,64.7
"45","Teferi, Time Raveler",29,64.6
"46","Spirebluff Canal",38,64.6
"47","Scalding Tarn",52,64.6
"48","Light Up the Stage",32,64.5
"49","Overgrown Tomb",39,64.5
"50","Manamorphose",46,64.5
