"","CardNames","DeckCount","WinrateAverage"
"1","Sigarda, Host of Herons",2,82.4
"2","Batterskull",5,81.4
"3","Leonin Relic-Warder",5,80
"4","Remorseful Cleric",1,80
"5","Shadowspear",1,80
"6","Leyline of Vitality",2,78.9
"7","Ethersworn Canonist",2,78.9
"8","Arboreal Grazer",6,78
"9","Isolate",2,77.8
"10","Primal Command",1,77.8
"11","Ramunap Excavator",1,77.8
"12","Fracture",1,77.8
"13","Arasta of the Endless Web",1,77.8
"14","Ghost Quarter",7,77.2
"15","Mazemind Tome",4,76.5
"16","Valakut Awakening",2,76.5
"17","Kaya, Orzhov Usurper",3,76
"18","Dead // Gone",3,76
"19","Ingot Chewer",3,76
"20","Pillage",9,75
"21","Obosh, the Preypiercer",9,75
"22","Deafening Silence",7,75
"23","Golos, Tireless Pilgrim",4,75
"24","Drown in the Loch",4,75
"25","Aven Mindcensor",3,75
"26","Unearth",2,75
"27","Field of Ruin",2,75
"28","Lightning Bolt",2,75
"29","Shatter Assumptions",2,75
"30","Stony Silence",1,75
"31","Seal of Fire",1,75
"32","Entrancing Melody",1,75
"33","Angrath's Rampage",1,75
"34","Gurmag Angler",1,75
"35","Liliana of the Veil",1,75
"36","Golgari Charm",1,75
"37","Caustic Caterpillar",1,75
"38","Fry",1,75
"39","Magmatic Sinkhole",1,75
"40","Environmental Sciences",1,75
"41","Overgrown Arch",1,75
"42","Apostle's Blessing",1,75
"43","Postmortem Lunge",1,75
"44","Wild Slash",1,75
"45","Prismari Command",1,75
"46","Threads of Disloyalty",1,75
"47","Cavern of Souls",8,74.6
"48","Revoke Existence",3,74.1
"49","Slaughter Pact",3,73.9
"50","Mystic Repeal",8,73.8
