"","CardNames","DeckCount","WinrateAverage"
"1","Veil of Summer",80,68.8
"2","Path to Exile",72,70
"3","Relic of Progenitus",68,69.5
"4","Lurrus of the Dream-Den",62,70.6
"5","Aether Gust",54,69.9
"6","Tormod's Crypt",53,71
"7","Damping Sphere",49,68.6
"8","Kozilek's Return",48,70.7
"9","Pithing Needle",47,71
"10","Mystical Dispute",45,70
"11","Abrade",43,68.9
"12","Soul-Guide Lantern",41,70.2
"13","Liquimetal Coating",40,70.2
"14","Engineered Explosives",39,71.5
"15","Ensnaring Bridge",38,69.1
"16","Grafdigger's Cage",37,67.7
"17","Thoughtseize",35,72
"18","Spell Pierce",34,71
"19","Wurmcoil Engine",33,69.8
"20","Cleansing Wildfire",32,69.2
"21","Auriok Champion",31,71.4
"22","Walking Ballista",30,68.8
"23","Kor Firewalker",29,68.8
"24","Burrenton Forge-Tender",29,70.5
"25","Sorcerous Spyglass",25,67.4
"26","Deicide",25,70.1
"27","Dispel",25,69.3
"28","Skysovereign, Consul Flagship",24,69.3
"29","Anger of the Gods",23,70.3
"30","Reclamation Sage",22,71.8
"31","Rest in Peace",21,70.6
"32","Sundering Titan",21,67.1
"33","Bedlam Reveler",21,69.2
"34","Spatial Contortion",20,68.2
"35","Vapor Snag",20,68.7
"36","Dismember",19,69.7
"37","Fatal Push",18,72.7
"38","Surgical Extraction",18,67.4
"39","Celestial Purge",17,67.4
"40","Nihil Spellbomb",17,67.7
"41","Crumble to Dust",17,72
"42","Flame Slash",17,72.3
"43","Kozilek, Butcher of Truth",17,65.1
"44","Force of Vigor",17,66.4
"45","Timely Reinforcements",15,67.8
"46","Leyline of Sanctity",14,70.9
"47","Nature's Claim",14,68.2
"48","Assassin's Trophy",14,69.2
"49","Kaya's Guile",14,69.4
"50","Vanishing Verse",14,71.8
