"","CardNames","DeckCount","WinrateAverage"
"1","Shock",2,100
"2","Timely Reinforcements",1,100
"3","Aether Gust",1,100
"4","Lonely Sandbar",1,100
"5","Luminarch Aspirant",1,100
"6","Idyllic Grange",1,100
"7","City of Brass",1,100
"8","Dakmor Salvage",1,100
"9","Fatestitcher",1,100
"10","Sylvan Caryatid",1,100
"11","Glittering Wish",1,100
"12","Sleight of Hand",1,100
"13","Cerulean Wisps",1,100
"14","Repeal",1,100
"15","Silence",1,100
"16","Swan Song",1,100
"17","Veil of Summer",1,100
"18","Jeskai Ascendancy",1,100
"19","Grove of the Burnwillows",1,100
"20","Cleansing Wildfire",1,100
"21","Go for the Throat",1,100
"22","Trinisphere",1,100
"23","Eidolon of the Great Revel",1,100
"24","Goblin Guide",1,100
"25","Lava Spike",1,100
"26","Rift Bolt",1,100
"27","Skewer the Critics",1,100
"28","Searing Blaze",1,100
"29","Skullcrack",1,100
"30","Golgari Rot Farm",1,100
"31","Boros Charm",3,91.7
"32","Klothys, God of Destiny",3,91.7
"33","Pillage",3,91.7
"34","Gut Shot",6,87.5
"35","Bloodchief's Thirst",4,87.5
"36","Abundant Growth",4,87.5
"37","Savai Triome",4,87.5
"38","Blood Moon",4,87.5
"39","Tranquil Thicket",2,87.5
"40","Claim the Firstborn",2,87.5
"41","Stubborn Denial",2,87.5
"42","Saheeli Rai",2,87.5
"43","Felidar Guardian",2,87.5
"44","Wall of Blossoms",2,87.5
"45","Pyrite Spellbomb",2,87.5
"46","Seal of Fire",2,87.5
"47","Growth Spiral",2,87.5
"48","Anger of the Gods",2,87.5
"49","Chandra, Torch of Defiance",2,87.5
"50","Mazemind Tome",2,87.5
